"","DivPosts$X","DivPosts$X.11","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","Sentiment","SentimentScore"
"11","University of Toronto","A new @UTSC medical academy will fill a critical need by training the next generation of health-care professionals in the eastern GTA. #UofT ?? https://t.co/paSkPoPfc4 https://t.co/3kgSN0T4sb",0,1,0,1,0,0,0,2,0,2,"positive",2
"12","University of Toronto Scarborough","RT @UTSC : HAPPENING NOW: #UTSC welcomes @JillDunlop1, @The_VijayT, @RaymondChoPC, Patricia Houston and @PrabSarkaria alongside principal Wisdom Tettey to share the news of the new Scarborough Academy of Medicine in the Eastern GTA. Watch live ?? #UofT #ScarbTO #SAMIH #ONHealth https://t.co/l0uA3rdT6y",0,2,0,1,1,0,0,3,0,4,"positive",4
"13","University of Toronto","What Andrei Sakharov taught us about science &amp; freedom: #UofT's John Polanyi in the @GlobeandMail ?? https://t.co/GsJFqfK6FE https://t.co/qo9KsIjIVw",0,0,1,0,1,0,0,2,1,1,"neutral",0
"14","U of T Arts & Science Registrar","RT @ArtSciRegistrar : @UofTArtSci @UofTStudentLife @VicRegistrar @UCRegistrar @assu_uoft @innisregistrar @WoodsworthReg @NewCollegeUofT @fortrinstudents @UofT Remember, a full list of awards and scholarships available to @UofT &amp; @UoftArtSci students is available through the award explorer tool online ?? https://t.co/OuDwJMAmyJ https://t.co/AbcDt4JnBr",0,1,0,0,1,0,1,1,0,2,"positive",2
"15","University of Toronto Student Life","RT @UofTStudentLife : Good morning, #UofT! Today’s #ExamReadyUofT booths are popping up at these locations — grab your FREE STUDY KIT:
??Music Library, Edward Johnson Building, @UofTMusic, 11-1pm
??Robarts Library, 2nd Floor @uoftlibraries, 2-4pm
Details here: https://t.co/5EmBvWZlTC https://t.co/6dTyBd8bH1",1,1,0,0,2,1,1,1,1,5,"positive",4
"16","University of Toronto","Building bridges: Global Language Initiative prepares #UofT students for a 'pluricultural' world ?? https://t.co/e6CUV13mH8 https://t.co/3sr24QrOHq",0,0,0,0,0,0,0,0,0,1,"positive",1
"17","U of T CECCS","RT @uoftceccs : ???Mark your calendars for our upcoming Adams Sustainability Celebration Events ??
1??Mar 30 - Fossil Fuel Divestment Panel
2??Mar 31 - Awards Ceremony and Innovation Prize Pitch Competition
3??Apr 6 - Community of Practice on Sustainability Panel
Register at: https://t.co/IcrDvYUJqn https://t.co/bn2X9jfmRd",0,2,0,0,2,0,2,1,3,5,"positive",2
"18","University of Toronto","#UofT &amp; other post-secondary institutions are playing a key role in fueling &amp; sustaining Toronto’s technology boom ??? https://t.co/CDAIoxepda https://t.co/uX0R3smfBI",0,0,0,0,0,0,0,0,0,1,"positive",1
"19","U of T Arts & Science","RT @UofTArtSci : Welcome spring at the Nowruz Festival of Women Poets.

Hosted and organized by @AgaKhanMuseum &amp; @UofT, this virtual celebration features inspiring poets like @Sholeh_Wolpe, musicians and more.

Watch the free livestream on March 26 at 12pm EDT on Facebook: https://t.co/9tFLAFpUia https://t.co/yevVWjhDwp",0,3,0,1,2,0,2,1,0,4,"positive",4
"20","Black Research Network","RT @uoftbrn : Vincent Kuuire (@vkuuire) is an assistant professor at @UTM_GGE and 2019 Canada Research Chair. His research focus includes healthcare access disparities in sub-Saharan Africa and immigrant integration dynamics in Canada ?? https://t.co/24QVtaTjEq @UTM #UofT #BlackResearchNetwork https://t.co/KlxpSRNfzW",0,0,0,1,0,0,0,1,0,2,"positive",2
"21","University of Toronto","Calling it a 'natural fit,' #UofT librarian opts for familiar setting in debut mystery novel ?? https://t.co/43qPAiSFkO https://t.co/1qUiNxGjT8",0,1,0,0,0,0,1,1,0,1,"positive",1
"22","U of T Engineering","RT @uoftengineering : Welcoming spring ??: As we approach the final weeks of the term, @UofTEngDean shares an update on recent campus updates, upcoming in-person events and helpful wellness resources for all ????: https://t.co/tpepOYpIJp https://t.co/PJICkkJG6x",0,0,0,0,2,0,0,2,0,2,"positive",2
"23","University of Toronto","Join @UofT_ARCDO for a series of programming this month, in recognition of #IDERD. The elimination of racial discrimination &amp; racism is an essential part of #UofT’s efforts to cultivate an equitable &amp; inclusive working &amp; learning environment. ??? https://t.co/KXWObOjpyw https://t.co/xumD03DMTZ",2,1,2,2,0,2,0,2,2,6,"positive",4
"24","University of Toronto Student Life","RT @UofTStudentLife : Good morning, #UofT! Today’s #ExamReadyUofT booths are popping up at these locations — grab your FREE STUDY KIT:
??Engineering &amp; Computer Science Library, Sandford Fleming Bldg, @uoftengineering, 11am-1pm
??Gerstein Library, @gersteinlibrary, 2-4pm
https://t.co/5EmBvWZlTC https://t.co/wASN9oKfhi",1,1,0,0,1,0,1,1,1,3,"positive",2
"25","University of Toronto","Ron Levi from the @MunkSchool &amp; @UofTArtSci has received the #UofT Global Educator Award for 2022 ?? https://t.co/AecnRTNtBU https://t.co/AlWn8QPaAX",0,1,0,0,1,0,1,1,0,2,"positive",2
"26","University of Toronto","New research from #UofT's @DonnellyCentre begins to unpick how sub-nuclear bodies contribute to gene regulation with the first large-scale survey of their RNA composition. ?? https://t.co/TntDeC3qES https://t.co/ELbB2AEAoZ",0,0,0,0,0,0,0,0,0,1,"positive",1
"27","University of Toronto Student Life","RT @UofTStudentLife : #ExamReadyUofT is back next week! Look out for our pop-up booths on campus and grab your free study kit, PLUS Facebook Live chats, and surprises ?? Details here: https://t.co/sbIjXYzHXH #UofT https://t.co/zjC89S21xK",1,0,0,0,0,0,1,0,2,1,"negative",-1
"28","University of Toronto","'A golden age for makers': @UofTEngineering course reflects importance of hardware in today's smart devices #UofT ? https://t.co/Rb35MTNa5j https://t.co/XUyvrQoKX4",0,1,0,0,0,0,0,0,0,1,"positive",1
"29","Mélanie Joly","RT @melaniejoly : “Democracy is a choice, often a fight, and it takes work every day to preserve and protect it.  
 
Today the fight for democracy is in Ukraine but the threat extends around the world.""

@MunkSchool https://t.co/KMQS30k9Bc",2,0,0,2,0,0,0,0,2,4,"positive",2
"30","University of Toronto Scarborough","RT @UTSC : Wishing our #UTSC, #UofT and #ScarbTo communities celebrating today a colourful and happy Holi! ?? https://t.co/2mquAf7ZHa",0,2,0,0,2,0,0,1,0,2,"positive",2
"31","University of Toronto","Urbanization is driving the evolution of plants around the world, @UTM study finds #UofT ?? https://t.co/sN6bq7DcWD https://t.co/ppaFI4G1Cw",0,0,0,0,0,0,0,0,0,2,"positive",2
"32","Munk School","RT @munkschool : Our online foreign policy discussion with @SteinJanice and The Hon. @melaniejoly starts at 1 p.m. ET today. Dean @Mawoodin will make opening remarks. 

There is still time to register: https://t.co/hCEs7sQcKz https://t.co/mBcSCquDjZ",0,1,0,0,0,0,0,1,1,1,"neutral",0
"33","U of T Arts & Science Registrar","RT @ArtSciRegistrar : Today's the last day to register with accommodated testing services if you require accommodation for your final assessments and exams in April. 

Register here ?? https://t.co/rFMZ4J9qZ2 
@UofTArtSci @UofTStudentLife https://t.co/yokL7T5PLi",0,0,0,0,0,0,0,0,0,1,"positive",1
"34","University of Toronto","Using a sex &amp; gender lens, #UofT graduate students focus on brain, mental health research ?? https://t.co/3nBxHaD9lj https://t.co/LzMRcmigTI",0,1,0,0,1,0,0,1,0,2,"positive",2
"35","U of T Varsity Blues","RT @Varsity_Blues : Focused on his path!

From Vancouver to Toronto, how career aspirations in physical therapy sent Chris Taylor 4000 kilometers east.

??: https://t.co/dILQLVnBPI

WE ALL #BLEEDBLUE | #WeAreTO https://t.co/mucAvoWjuK",0,1,0,1,0,1,0,0,1,1,"neutral",0
"36","University of Toronto","At age 101, Hazel McCallion renews role as @UTM special adviser #UofT ?? https://t.co/V1sHGVhzHm https://t.co/gweMN5bcsR",0,0,0,0,1,0,0,1,0,2,"positive",2
"37","Black Research Network","RT @uoftbrn : Co-edited by @History_UofT's Funké Aladejebi, ""Unsettling the Great White North"" brings scholars across academic disciplines together to share and celebrate Black Canadian history and studies ?? https://t.co/HQMzmRaP7j @utpress #UofT #BlackResearchNetwork https://t.co/tJFZBUacSg",0,2,0,0,2,2,0,3,2,3,"positive",1
"38","University of Toronto","'I found a community': #UofT alumna @MellVincent on how @HartHouseUofT's music magazine helped launch her career ?? https://t.co/fbawvZRzvK https://t.co/W6cfa375np",0,2,0,0,2,1,0,1,0,4,"positive",4
"39","University of St. Michael's College","RT @uStMikes : Happy #StPatricksDay! @uStMikes is proud to be a home of #CelticStudies in Canada, with deep connections to the Irish community going back to the 19th century. We celebrate that heritage today: https://t.co/SlbuEbmzJE https://t.co/Gmnuj4Acif",0,2,0,0,2,0,0,3,0,3,"positive",3
"40","University of Toronto","In celebration of #WomensHistoryMonth, #UofT brought together researchers &amp; leaders across @researchuoft to discuss the challenge of building a sustainable future. ?? https://t.co/dkyGTQwaKI https://t.co/l6mRwArUCV",1,1,0,1,1,0,1,1,1,2,"positive",1
"41","University of Toronto Student Life","RT @UofTStudentLife : Explore strategies for managing test anxiety, and consider things to do on days leading up to and on the day of your exam — Monday, March 21, 12-1:30pm (online). Details here: https://t.co/QEhodwIYFp #UofT https://t.co/dx9B6dv50y",1,2,0,1,0,1,0,1,1,1,"neutral",0
"42","University of Toronto",".@UofTPharmacy leads international field-based patient trial for cell-free Zika testing &amp; delivers highly accurate results #UofT ?? https://t.co/X08w4oUQf8 https://t.co/WpwQSDb03z",0,1,0,0,0,0,0,1,0,2,"positive",2
"43","U of T Engineering","RT @uoftengineering : ""What truly sets you apart is what you do outside of the classroom"" – #UofTEngineering @eceuoft student and Lester B. Pearson scholar Diana Virgovicova is one of 36 students selected by @NEXT_Canada to receive entrepreneurship support ????: https://t.co/ytFeTgaeBb https://t.co/J4umZDttUN",0,0,0,0,0,0,0,0,0,1,"positive",1
"44","University of Toronto","'A human tragedy at the greatest scale': #UofT researcher Lynne Viola on how distorted history shapes today’s war in Ukraine ???? https://t.co/SZCIN0wcew https://t.co/dnzsEIzThR",0,0,1,2,0,1,0,0,3,0,"negative",-3
"45","University of Toronto","Find real-time and/or appointment-based confidential support for any school, health, or general life concern with #UofT My SSP. Download the My SSP app: https://t.co/Em9lUhoWoh or call 1-844-451-9700. Outside of North America, call 001-416-380-6578. ?? https://t.co/2TTyGmKdOp",0,1,0,0,0,0,0,4,0,2,"positive",2
"46","Black Research Network","RT @uoftbrn : The #BlackResearchNetwork is forging connections, amplifying world-changing research and sparking interdisciplinary collaborations between Black scholars @UofT. Learn how you can fuel the future of Black-led research ?? https://t.co/FN05GKTznB #UofTDefyGravity https://t.co/UO6Fb24UO1",0,0,0,0,0,1,0,0,1,1,"neutral",0
"47","University of Toronto","Researcher Geoffrey Ozin from @UofTArtSci has been awarded the prestigious #Killam2022 Prize for his groundbreaking work in nanochemistry. ?? https://t.co/9dJIjPumP1 https://t.co/26M4nwo5hb",0,0,0,0,0,0,0,0,0,0,"neutral",0
"48","Munk School","RT @munkschool : On March 18, The Hon. @melaniejoly, Minister of Foreign Affairs, joins @SteinJanice to discuss Canada’s foreign policy in a time of deep uncertainty and transformation. #cdnpoli 

Register for this online event: https://t.co/hCEs7sQcKz https://t.co/3KGBZqkCp6",0,1,0,0,0,0,0,1,1,1,"neutral",0
"49","University of Toronto","March is Fraud Prevention Month at #UofT. Learn fraud prevention tips, scams to look out for &amp; resources available to help protect yourself &amp; your money. ?? https://t.co/z5AfFG0OIu https://t.co/N86QUYlJPr",2,2,0,0,2,0,1,2,1,6,"positive",5
"50","University of Toronto","#UofT explores university housing development at Bloor &amp; Spadina ??? https://t.co/qe1t3iAxrM https://t.co/WEcmTdQvtf",0,1,0,0,0,0,0,0,0,1,"positive",1
"51","U of T Law","RT @UTLaw : Today, #UofTLaw is hosting ""The war in #Ukraine: Law and a world in crisis."" 

This session features a panel of experts from #UofT in discussion about the Russia-Ukraine conflict and what it might mean for the future of the int'l order.

https://t.co/fvq47UHQNk",1,0,0,2,0,1,0,1,3,1,"negative",-2
"52","University of Toronto","Road traffic isn’t just bad for the air – it's potentially a major source of water pollution according to a new @UTSC study #UofT ??? https://t.co/Gs5uu77oW0 https://t.co/DQS9QBfTkk",1,0,2,1,0,1,0,0,2,2,"neutral",0
"53","University of Toronto Scarborough","RT @UTSC : We are thrilled with the government’s support for the Scarborough Academy of Medicine and Integrated Health (#SAMIH) at #UTSC. More details on this milestone announcement coming soon. #UofT #ScarbTO @UofTNursing @uoftmedicine @uoftgro https://t.co/leWgI3AK3q",0,2,0,1,0,0,0,0,1,1,"neutral",0
"54","U of T CECCS","RT @uoftceccs : Our next Adams Sustainability panel discussion is tomorrow at 2pm! Learn about the Sustainability Change Programs to see how you can implement sustainability both on campus and in a virtual world! Register at https://t.co/IcrDvYUJqn https://t.co/gfGK54Fojl",0,1,0,1,0,0,0,0,0,2,"positive",2
"55","First Nations House","RT @UofTFNH : First Nations House Indigenous Student Services presents a lunch time world water day event w/Amy Desjarlais Tues March 22 12-1 PM Earth Sciences courtyard. If it rains we move indoors to the Multi Faith Centre
Register:https://t.co/YXvvTtf0t9
indigenous.slcoordinator@utoronto.ca https://t.co/Z4CCLyKGZl",0,2,0,0,1,0,0,1,0,2,"positive",2
"56","University of Toronto","#UofT plans in-person spring convocation ceremonies at Convocation Hall #UofTGrad22 ?? https://t.co/3CKbGf4Qge https://t.co/KTKaPCXbQV",0,0,0,0,0,0,0,0,0,0,"neutral",0
"57","Food Services","RT @UeaToronto : #HBD @UofT Celebrate with a free Food Services Birthday button with your purchase at @CampusOneRes @ChestnutRes @lifeatnew, MSB, Robarts, and as part of your Sid Smith mobile order! *while supplies last*
#HBDUofT #BirthdayCake #UofT #UofTButton @UofTStudentLife @uoftlibraries https://t.co/IqfUVecDJU",0,2,0,0,2,0,1,2,0,3,"positive",3
"58","University of Toronto Magazine","RT @uoftmagazine : Happy birthday #UofT! Founded this day in 1827. https://t.co/62Iavmh1wm",0,2,0,0,2,0,1,1,0,2,"positive",2
"59","University of Toronto","Thanks for playing, #UofT! ?? For more #HBDUofT trivia from @uoftmagazine &amp; to check your answers visit: https://t.co/JcadLAOZcs https://t.co/89sXSi6IQe",0,0,0,0,0,0,0,0,0,1,"positive",1
"60","University of Toronto","In what year did women first graduate from the University of Toronto?",0,1,0,0,0,0,0,0,0,1,"positive",1
"61","University of Toronto","One of #UofT’s most picturesque spots features a beautiful stone bridge over a small pond, &amp; is located on which U of T campus:",1,0,0,0,2,0,0,0,2,2,"neutral",0
"62","University of Toronto","The Andrews Building is a popular backdrop for films &amp; TV shows, including The Shape of Water, Total Recall &amp; Enemy. The building is located on which #UofT campus:",1,0,1,1,0,0,0,0,1,3,"positive",2
"63","University of Toronto","Which two celebrities donated to launch programs at #UofT? The Weeknd &amp; Fred VanVleet or Daniel Caesar &amp; Keanu Reeves?",0,1,0,0,0,0,0,0,0,1,"positive",1
"64","University of Toronto","Which of the following was invented by #UofT researchers or alumni?",0,0,0,0,0,0,0,0,0,0,"neutral",0
"65","University of Toronto","#HBDUofT! Today we celebrate 195 years since #UofT's founding in 1827. ?? Test your U of T knowledge with our special birthday quiz thread. ?? https://t.co/0Nf4Utuotn",0,1,0,0,2,0,1,0,1,3,"positive",2
"66","University of Toronto","Seven takeaways from #UofT Entrepreneurship Week 2022 #UofTEntWeek ?? https://t.co/8Y43d64ips https://t.co/jav0E5644d",0,0,0,0,0,0,0,0,0,0,"neutral",0
"67","CivMin Engineering at U of T","RT @civmin : It's Pi Day!!
Celebrate March 14, known to us as 3.14, with some pie today! How many decimal places do you know? 3.14159....
#PiDay #PieDay https://t.co/vMQFRThSUC",0,0,0,0,0,0,0,0,0,1,"positive",1
"68","U of T Engineering","RT @uoftengineering : Now in its fourth-year, NSBEHacks – #Toronto's first Black student-run hackathon – is redesigning digital technologies to better serve marginalized communities ????: https://t.co/wFBFE3As9o https://t.co/IZgk61Fzup",0,0,0,0,0,1,0,1,2,0,"negative",-2
"69","The Commonwealth","RT @commonwealthsec : Students from small island nations will be supported in their climate action studies through new scholarships inspired by His Royal Highness The Prince of Wales @ClarenceHouse, announced today by @Cambridge_Uni, @UofT, @UniMelb, @McMasterU and the University of Montreal. https://t.co/gGo6IjWfi8",0,1,0,0,1,0,1,1,1,5,"positive",4
"70","University of Toronto","Cheryl Regehr, #UofT’s vice-president &amp; provost, has received the YWCA Toronto’s 2022 Women of Distinction Award ?? https://t.co/A6UGf1phps https://t.co/g3Sg7Aergh",0,1,0,0,1,0,1,2,1,4,"positive",3
"71","U of T Arts & Science Registrar","RT @ArtSciRegistrar : Reminder: today is the last day to drop Winter 2022 S courses @UofTArtSci without academic penalty. https://t.co/V74LtED5tU",1,0,0,1,0,1,0,1,1,1,"neutral",0
"72","University of Toronto","'We need a cultural change': @UofTMedicine's Aled Edwards on why equity matters when planning for the next pandemic #UofT ?? https://t.co/tyrljz2PUo https://t.co/CdWg50Qv1i",0,1,0,1,0,1,0,1,1,2,"positive",1
"73","University of Toronto Student Life","RT @UofTStudentLife : The *Learning How to Learn* workshop series continues with this week's session, Encountering Failure and Difficulty — Wednesday, Feb. 16, 2-3:15pmET (online). Register today at https://t.co/gJltYu4qnM #UofT https://t.co/S7RAktI67E",1,0,1,2,0,2,0,1,2,2,"neutral",0
"74","University of Toronto","For more information, resources &amp; the latest news please visit: https://t.co/TiJyWsVNHW",0,0,0,0,1,0,0,1,0,3,"positive",3
"75","University of Toronto","In order to minimize uncertainty &amp; disruption &amp; to continue to support our students, staff, faculty &amp; university communities, Ontario’s universities, including #UofT, will maintain their #COVID19 vaccination &amp; masking policies until at least the end of the current term. https://t.co/IQROFbfmgu",1,2,0,1,0,0,1,2,2,4,"positive",2
"76","University of Toronto","Why do animals sleep? #UofT profs featured in @CBC’s The Nature of Things documentary ?? https://t.co/L5I8JLsh31 https://t.co/j5RbWH1w6b",0,0,0,0,0,0,0,0,0,0,"neutral",0
"77","Schwartz Reisman Institute","RT @TorontoSRI : SAVE THE DATE! Absolutely Interdisciplinary returns June 20-22! Join leading thinkers from a variety of fields as they share cutting-edge research that encourages innovation, discussion, and new insights.
 
Registration: coming soon  
More: https://t.co/coiPwOTG1B
#TorontoSRI https://t.co/bxkgYqhCyw",1,2,1,1,2,1,0,3,1,5,"positive",4
"78","University of Toronto","#UofT startups focused on health, sustainability among winners at Entrepreneurship Week pitch competition #UofTEntWeek ?? https://t.co/pT5xzz8CtW https://t.co/Tg6iWPf60d",0,1,0,0,0,0,0,0,1,0,"negative",-1
"79","Ontario's Universities","RT @OntUniv : In order to minimize uncertainty &amp; disruption &amp; to continue to support our students, staff, faculty &amp; university communities, Ontario’s universities will maintain their COVID-19 vaccination &amp; masking policies until at least the end of the current term. https://t.co/pCjzphV8rV",1,2,0,1,0,0,1,2,2,3,"positive",1
"80","University of Toronto","#UofT entrepreneur to 'make the world a little more inclusive one necklace at a time' #UofTEntWeek ?? https://t.co/LuVNIP3KXl https://t.co/IJ2x0o9hhZ",0,0,0,0,0,0,0,0,0,1,"positive",1
"81","Meredith Irwin","RT @drmeredithirwin : Excited to celebrate all of the amazing #WomenInMedicine @SickKidsNews &amp; @uoftmedicine Dept of Peds, @UofTPaedsRes on Canadian Women Physicians Day! A huge thank you from me on this day - I’m inspired by all of our #WomenDocsCAN! @PedChairsCan ?? ?? https://t.co/KmLv26SFQ5",0,1,0,0,2,0,2,2,0,2,"positive",2
"82","University of Toronto Scarborough","RT @UTSC : From surviving to thriving: In collaboration with MARTK'D (@_martkd), #UTSC Department of Community Partnerships &amp; Engagement presents #KIT100, a virtual series centering Blackness and wellbeing. 

??Tune in for weekly conversations this March: https://t.co/7T8zvjpTEE https://t.co/kV38gc8CaJ",0,1,0,1,1,1,0,1,1,3,"positive",2
"83","U of T Varsity Blues","RT @Varsity_Blues : When they say you can’t, show them why you can. ??

This is the story of first-year Varsity Blues Paralympic swimmer, Matt Cabraja. 

???: https://t.co/EaJTO2o1UG

WE ALL #BLEEDBLUE | #WeAreTO https://t.co/JnggkBlFV4",0,0,0,1,0,1,0,1,1,0,"negative",-1
"84","University of Toronto","New #UofT study finds high rates of postpartum depression &amp; anxiety in Canadian fathers ?? https://t.co/Rvyam9pBPJ https://t.co/B2Gx89Ogkg",1,1,0,1,0,2,0,0,2,1,"negative",-1
"85","University of Toronto","‘There's no beauty without wellness:’ #UofT alumna's startup embraces rituals in hair care #UofTEntWeek ????? https://t.co/7i5ylRNz29 https://t.co/iVQ0jn4YSW",0,0,0,0,1,0,0,0,0,1,"positive",1
"86","ITS at UofT","RT @ITSUofT : Students at #UofT: Today, the annual @educause survey will be sent to approx. 4,000 undergraduate students. This #survey is an excellent way to provide feedback and identify opportunities to enhance existing services. Learn more: https://t.co/ktUhvETEJS 

#AcademicCommunity",0,0,0,0,1,0,0,2,0,4,"positive",4
"87","University of Toronto","A cut above: #UofT startup @FyyneHQ makes hair services more accessible #UofTEntWeek ?? https://t.co/FwCCVCD6ik https://t.co/TPPwzaXkjL",0,0,0,0,0,0,0,0,0,1,"positive",1
"88","First Nations House","RT @UofTFNH : First Nations House Indigenous Student Services monthly Full Moon Fire gathering &amp; teachings with Caleb Musgrave from Canadian Bushcraft 
Friday March 18th 10 AM-3 PM
Earth Sciences North Courtyard, off of Bancroft Ave
Register on CLNx:
https://t.co/UwUIMD5VQ0 https://t.co/IscHcPefys",0,0,0,1,0,0,0,0,0,2,"positive",2
"89","University of Toronto","What kind of support does #UofT's Sexual Violence Prevention &amp; Support Centre provide &amp; what can you expect if you reach out? ?? 

Here are some FAQs to answer your questions: https://t.co/mWrHsQ3hbI https://t.co/9FQoDr8vBq",1,2,0,1,1,1,1,3,1,4,"positive",3
"90","U of T Entrepreneurship","RT @UofTStartup : Congratulations to the winners of the #UofTStartupPrize!

Early-stage - 1??: SPARKED, 2?? : SnapWrite AI
Later-stage - 1??: @HDAXtx, 2?? @transcrypts_ 
People's Choice: HOPE Pet Food
Lo Social Venture Fund Impact Award: Arterial Solutions

Learn more: https://t.co/kDZN2hm7IV https://t.co/SgP482CENI",0,2,0,0,3,0,2,3,1,5,"positive",4
"91","University of Toronto","'A watershed moment': #UofT's Lucan Ahmad Way on how the war in Ukraine could reinvigorate democracy ???? https://t.co/sE6hR6AcKR https://t.co/nuerfkMNYD",0,0,0,1,0,0,0,0,1,1,"neutral",0
"92","Munk School","RT @munkschool : Conflict in Ukraine has led to the largest refugee movement since the Syrian Civil War. 

On March 11, @ProfRAHansen, @lamamourad, and 
@CraigDamian explore Ukrainian refugees in the context of broader global refugee flows and what Canada can do: https://t.co/J8X12YHCud https://t.co/uXoD0g5wBk",1,1,0,2,0,2,0,0,2,2,"neutral",0
"93","University of Toronto","Sunscreen for your scalp? #UofT startup offers powdered protection for the top of your head #UofTEntWeek ?? https://t.co/sf155KXJeN https://t.co/K6QLOZk5qi",0,1,0,0,0,0,0,1,0,1,"positive",1
"94","University of Toronto Scarborough","RT @UTSC : Meet Richard Cao, @UTSCAlumni/@UofTAlumni and founder of Roll Technologies Inc. (@roll_scooters)??

When Richard came to Toronto, he found transportation to be a challenge. With support from @UTSCTheHub, he launched his micro-mobility solution. #UTSC #UofT #UofTEntWeek https://t.co/Rc19CgliJR",1,0,0,1,1,0,0,1,1,2,"positive",1
"95","Todd Smith","RT @ToddSmithPC : Great to see the construction site of @UofT's geothermal system, which will be used to heat buildings on campus while cutting 15,000 tonnes of CO2 emissions! #energyefficiency https://t.co/zEMi6j8KV7",1,0,1,1,0,1,0,1,1,0,"negative",-1
"96","Black Research Network","RT @uoftbrn : In 2017, @UTSC Associate Professor @carolinehossein founded the Diverse Solidarity Economies (DiSE) Collective. The platform brings scholars and activists together to support women driving economic change ?? https://t.co/S5tQe8OLIt #UofT #BlackResearchNetwork https://t.co/NXUsesN07x",0,0,0,1,0,0,0,3,1,3,"positive",2
"97","First Nations House","RT @UofTFNH : Indigenous Career Fair @ UofT
Date: March 31st 2022
Time: 12PM - 2PM
Location: Online via Acadiate 

More information &amp; registration:
https://t.co/qlwvuZdb1R https://t.co/GT90U5DpkA",0,2,0,0,0,0,0,0,0,4,"positive",4
"98","University of Toronto","Helping cashew farmers in Ghana: #UofT entrepreneurship initiative to strengthen ties between Canada &amp; Africa #UofTEntWeek ?? https://t.co/olsCVk2cXe https://t.co/n9wD7zrLzk",0,0,0,0,0,0,0,0,0,1,"positive",1
"99","U of T Arts & Science Registrar","RT @ArtSciRegistrar : Check out the Exam Toolkit for all the important things you need to know about exams ??https://t.co/F2jtXRBdVQ

??Exam schedule 
??What you can expect during exams 
??What to do if you have to miss an exam 
??Study tips for exams (2/3) https://t.co/i0MjJe0H9q",0,1,0,0,0,0,1,2,0,3,"positive",3
