,DivPosts$X,DivPosts$X.11,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,Sentiment,SentimentScore
35,Western University,"Traffic alert: University Drive Bridge is *closed* to all motor vehicles from 6:00 a.m. to 6:00 p.m. today. Cyclists and pedestrians can still access the bridge. 

@LTCLdnOnt and campus shuttles will be rerouted during the closure.
#WesternU #LdnOnt
https://t.co/J50dzUxtzF https://t.co/HijiaJDwtP",0,2,0,0,1,1,0,0,0,2,positive,2
36,Western International,RT @westernuIntl : Did you know there is a way to add global appeal to your #WesternU undergraduate degree while developing your global awareness? Learn more about the 4 categories and apply now for the Global &amp; Intercultural Engagement Honour. https://t.co/YA7PEPK29i. #globalwesternu @westernuSE https://t.co/JqyrN5bdqc,0,1,0,0,0,0,0,0,0,2,positive,2
37,Western University,"This week's #WesternU vaccination centre hours (located in Thames Hall, Room 3189):
Monday, March 14 - Friday, March 18, 9:00 a.m. to 1:00 p.m.
Only walk-in appointments are available.",0,0,0,0,0,0,0,0,0,1,positive,1
38,London Transit,"RT @LTCLdnOnt : DETOUR: Due to work on the University bridge, Routes 6, 13, 27 &amp; 106 will be on detour as of first bus Monday March 14 to approx. 7pm. Stops along University Dr between Richmond and Perth/Lambton will not be serviced and delays on these routes should be anticipated. #LdnOnt",0,1,0,0,0,0,0,0,0,2,positive,2
39,Student Experience,"RT @westernuSE : Wellness &amp; Well-being will be sponsoring a Community of Care Session for Ukrainian students on Friday, March 18 from 11am - 2.m in Thames Hall, Rm 3118. Western grad &amp; former president of #WesternU's Ukrainian Student Club, Halyna Polityka, RP, M..Ed. will lead the event. https://t.co/w5zjENrwor",0,0,0,0,0,0,0,1,0,4,positive,4
40,Western University,A study involving @SchulichMedDent prof @JenLGuthrie found that white-tailed deer in Ontario may have transmitted #COVID19 to a human. @DiscoverMag #WesternU https://t.co/FgpKt4Fpyd,0,1,0,0,2,0,0,2,0,3,positive,3
41,Western University,"""The time has come to invest in the research to make these great technologies even better, more effective, and develop new tools to be better prepared and equipped for the next unprecedented event."" 
— Anwar Haque, professor and telecommunications industry expert
#WesternU",0,3,0,0,0,0,1,4,0,5,positive,5
42,Western University,"""The most important lesson that we learned during the pandemic is that our health and well-being as a society depend largely on the health and well-being of the most vulnerable.""
— @KateHeeChoi, demographer and director of the Centre for Research on Social Inequality
#WesternU",1,2,0,2,0,2,0,4,2,3,positive,1
43,Western University,"Monday marks the beginning of @westernuSE's ReShape Week - a four-day series of talks &amp; events focused on gender-based and sexual violence education and prevention. Speakers are open to all #WesternU students, staff, and faculty. Learn more &amp; register at: 
https://t.co/2fOmb31i6q",1,1,0,1,0,1,0,2,1,3,positive,2
44,Western University,"""Powers that were once taken for granted, or that were entirely unknown to much of the public, have now been made very evident and subjected to public scrutiny, which, at times, has been rather impoverished."" 
— @maxwellsmith, bioethicist &amp; assistant professor 
#WesternU",0,2,0,1,0,1,0,2,3,4,positive,1
45,Western University,"Heads up! University Drive Bridge will be closed to motor vehicles on March 14, from 6:00 a.m. to 6:00 p.m. for an annual inspection. 

One sidewalk will be open for pedestrians and cyclists. Drivers, please use an alternate route. 
#WesternU #LdnOnt 
https://t.co/J50dzUxtzF https://t.co/zQzgt7uOIN",0,1,0,0,0,0,0,0,0,2,positive,2
46,Western University,"PM @JustinTrudeau will deliver closing remarks at the #WesternU student-led @IDinSTEM virtual conference this weekend, adding to an already-amazing lineup of speakers. #STEM #LdnOnt https://t.co/btHELQha6P",0,0,0,0,0,0,0,0,0,0,neutral,0
47,Western University,"""Many people are facing ongoing challenges to their physical, cognitive and mental health following recovery from COVID-19 infection, and we don’t yet know whether these will resolve with time."" 
— @Comadork, neuroscientist and professor at @BMI_WesternU
#WesternU",0,2,0,1,0,0,0,2,1,4,positive,3
48,Western University,"""Sadly, we’ve learned that the inequities and structural and systemic violence in our society run so deep that they shaped every aspect of our response, and non-response, to the pandemic."" 
— @NadineWathen, CRC in Mobilizing Knowledge on Gender-Based Violence
#WesternU",1,0,0,2,0,3,0,1,3,1,negative,-2
49,Western University,"Six million deaths, 450 million confirmed cases, 11 billion vaccines administered. Two years after #WHO declared a global pandemic, what have we learned and how do we move forward? #WesternU experts weigh in with insights beyond the numbers. #COVID19 https://t.co/RiJGWiRuuy",0,1,0,1,0,1,0,2,1,3,positive,2
50,Western University,"#WesternU is extending its full system of support to those affected by the #Ukraine crisis, including access to financial aid, academic accommodations and mental health services. @westernuIntl https://t.co/REcaUbK71W",0,0,0,0,0,0,0,2,1,4,positive,3
51,Western University,A @tvo op-ed co-authored by @westernuFHS professor @susana_caxaj outlines ways in which Ontario can better protect #migrant #farmworkers. #WesternU https://t.co/XPyluY3zZm,0,0,0,0,0,0,0,1,0,2,positive,2
52,Western University,#WesternU international law experts provide insights on whether a ruling from the @CIJ_ICJ in favour of #Ukraine can stop Russia's invasion. @westernuLaw https://t.co/46xBKvXVd7,1,0,0,0,0,0,0,2,1,1,neutral,0
53,Western University,"After consultation with the @MLHealthUnit and #WesternU workplace health and wellness physicians, it has been decided that Western’s masking mandate and vaccination policy will remain in effect until at least the end of this term. Read the full update:
https://t.co/faBuB9FyjZ",0,0,0,0,0,0,0,1,0,1,positive,1
54,Faculty of Education,RT @westernuEdu : Lockdowns and school closures have impacted children and youth during COVID-19. Education professor Claire Crooks will address these issues and post-pandemic well-being during the upcoming Let’s Talk About Education event in April. Read more: https://t.co/SqC1LozRYC #westernu https://t.co/7H0YqyezPL,1,1,0,2,1,1,1,2,1,3,positive,2
55,FacilitiesManagement,"RT @westernuFM : Project milestone??The bright new Indigenous Learning Space (ILS) skylight has been lifted into place. When complete, ILS will be a place for all to gather, learn, and build relationships in the spirit of reconciliation, decolonization, and Indigenization. @westernu??by J. Jones https://t.co/9NUQdN2JZr",0,1,0,0,1,0,0,1,0,5,positive,5
56,Western BrainsCAN,"RT @Brains_CAN : Why do people experience brain fog, a symptom of long COVID? #WesternU neuroscientist, @Comadork explains. 

https://t.co/WZl9f6HXN9 via @nationalpost",0,1,0,0,0,0,0,0,1,1,neutral,0
57,Western University,"Hear what #WesternU Philosophy prof @HenrySidgwick has to say in this episode of The New Reality.
@westernuArts @rotmanphilo https://t.co/UQfFiPWyPp",0,0,0,0,0,0,0,0,0,0,neutral,0
58,Western University,"A new @ConversationCA piece by #WesternU Kinesiology prof @punchingprof examines why sports are intertwined with political events. ""The broader sporting landscape is...illustrating the politically charged nature of international sport in the 21st century.""
https://t.co/24WAV3Gnz6",0,0,0,0,0,0,0,0,0,0,neutral,0
59,City of London,"RT @CityofLdnOnt : As we navigate the next part of our #COVID19 journey, let's continue to show each other #LdnKindness and patience. 
For more information on the changing #COVID19 regulations, visit: https://t.co/dYEZhmPqjU
@MLHealthUnit https://t.co/zxpkiRB0Cn",0,3,0,1,1,0,0,3,0,5,positive,5
60,NFF,"RT @NFFOntario : Introducing our next speaker for the Conference:

?? Olivia Ghosh-Swaby ??

Olivia is a 2021 Vanier Canada Graduate Scholar &amp; PhD student in Neuroscience @WesternU. She is an advocate for #EDI in #STEM and university athletics.

Register for FREE here: https://t.co/YvAB8xefnq https://t.co/w9GQXXDLz9",0,1,0,0,0,0,0,1,0,2,positive,2
61,Western University,"“The obvious best place to put solar energy is to integrate it directly into whatever you might be powering,” #WesternU professor Joshua Pearce tells NBC News in an article about implementing solar panels in the U.S. @westernuEng @iveybusiness 
 https://t.co/tJq1vxDLlQ",0,0,0,0,0,0,0,2,0,2,positive,2
62,Western University,Hey #WesternClassOf2022 – want to kick-start your career right here on campus? #WesternU is offering new staff positions that come with full-time hours and competitive salaries and  benefits. Roles begin June 2022 and continue until March 2024. Learn more and apply today!,1,4,0,0,0,0,0,2,1,5,positive,4
63,Student Central,RT @westernuReg : The FINAL schedule for April 2022 examinations is now posted. You can access your personal exam schedule at https://t.co/GIXIVVlYOp or the full schedule at https://t.co/k9H8GqTvZX #westernu https://t.co/jKnw6zHYjm,0,0,0,0,0,0,0,1,0,1,positive,1
64,Western University,"Will you continue watching movies at home or will you go to a theatre post-pandemic? ""People are still watching a lot of entertainment... what has really shifted is the way we access that content."" says @westernuFIMS prof Selma Purac on @TheAgenda. https://t.co/GQkStSnpdF",0,2,0,1,2,1,1,3,1,3,positive,2
65,Western University,"Western’s Vaccination and Testing Centre is now conveniently located in the heart of campus. #GetBoosted while you walk through campus in Thames Hall, room 3189. 
#WesternU 
https://t.co/wRnrrbudwo",0,0,0,0,0,0,0,0,0,0,neutral,0
66,Western University,"""To me, women’s equity means that I can stop processing so many professional interactions through a gender lens.""
— @scgQuasar, director, Institute of Earth and Space Exploration, and science advisor to the president of the @csa_asc
#WesternU #IWD2022",0,0,0,0,0,0,0,4,0,4,positive,4
67,Western University,"""Women’s equity means entering a meeting, seeing represented faces and then being asked for a response to an issue; making a response, and hearing a pause that suggests it was heard.""
— Terry McQuaid, director, wellness and well-being
#WesternU #IWD2022",0,0,0,1,0,0,0,1,1,3,positive,2
68,Western University,"In 1929, the #PersonsCase let women participate more fully in public and political life. Today, #WesternU grad @CarinaGabriele_ received a @GGCanada Award in Commemoration of the Persons Case for her contributions to advancing #GenderEquality. #IWD2022 https://t.co/0ScDinVFla",0,3,0,1,2,1,1,2,1,5,positive,4
69,Western University,"""Diversity in academia enriches the educational experience, encourages creative thinking, and promotes the full inclusion of excellence across the spectrum. University leaders must champion inclusivity.""
— @LesleySRigg, vice-president (research)
#WesternU #IWD2022",0,2,1,0,2,0,0,5,1,7,positive,6
70,Western University,"“If you’re hyper-focused on what you’re ‘supposed’ to do, you may miss out on the path that leads to what you’re actually meant to do.” - #WesternU alum Maria Thomas, #TrinidadandTobago #Rugby president.
@ttru_868 @RugbyAmericasN #purpleandproud #IWD2022 
https://t.co/vkPbqwfAr7",0,0,0,0,0,0,0,1,0,1,positive,1
71,Western University,"""Women’s equity work means actively working towards removing barriers to access and success for women and non-binary individuals.""
— @rachel_cabunoc, associate director, @westernuhousing
#WesternU #IWD2022",0,1,0,0,1,0,0,2,0,5,positive,5
72,Schulich WesternU,"RT @SchulichMedDent : To address the gender imbalance in teaching and leadership positions in medicine, Dr. Tina Mele is collaborating on research initiatives to define clear strategies for equitable sponsorship, participation and access to career advancement opportunities.

#IWD2022",0,1,0,0,0,0,0,0,0,3,positive,3
73,Western University,"""Women’s equity for me means equal recognition for equal work, and having our work valued and not taken for granted. It is of benefit to the entire society to have women participate fully.""
— Jayshri Sabarinathan, professor at @westernueng
#WesternU #IWD2022",0,0,0,0,0,0,0,2,0,5,positive,5
74,Western University,"For International Women's Day, #WesternU women leaders reflect on what women's equity means to them and to their work. @womensday #BreakTheBias #IWD2022 https://t.co/Yfq2EOV3xz",0,0,0,0,0,0,0,0,0,1,positive,1
75,Student Experience,"RT @westernuSE : Celebrate #IWD22 with talks by elder Myrna Kicknosway and @WesternU Artist in Residence Kelly Greene as part of ""Breaking the Bias at Western: Celebrating Indigenous Women &amp; Culture""

Both talks are open to students, staff, and faculty. Learn more: https://t.co/FV9ivFX9K9. https://t.co/iYQpexxv0y",1,1,0,0,1,0,0,2,1,5,positive,4
76,Western University,"#InternationalWomensDay is a day of unity. Today and every day, we celebrate the outstanding achievements of women worldwide while actively working to #BreakTheBias. From challenge comes change. Let's come together for our #WesternU community and beyond. #IWD2022 https://t.co/q6ZkzYQBKK",1,0,0,2,1,0,0,1,2,4,positive,2
77,London Film Office,"RT @filmlondonon : A new program @WesternU aims to broaden students' awareness of creativity as an essential job skill for the 21st century.@filmlondonon is one of the program's community partners, providing internships, placements, job leads &amp; opportunities in #ldnont. ?? https://t.co/OuEZf1lkFT",0,1,0,0,1,0,0,1,0,4,positive,4
78,Student Experience,"RT @westernuSE : Check out our line-up of speakers for ReShape Week! We've got talks from Jungle Flower, Samantha Bitty, Farrah Khan, and Karly Church. 

Each talk will take place over Zoom and focus on GBSV education and prevention. 

To learn more &amp; register, visit https://t.co/B3bRJH6do8! https://t.co/WXXrmQqP71",0,2,0,2,1,0,0,2,0,6,positive,6
79,Western Libraries,"RT @westernulibs : One day you'll look back on this time and think, ""Gee, I miss wearing a mask."" Okay, no you wont. ?? But you might regret taking it off and making people ask you to put it on.

Pick up masks at any of our 5? libraries with your #WesternU ONECard. 

Be kind. Mask up. ?????? https://t.co/LLMxyraU5k",0,2,0,0,1,1,0,1,1,2,positive,1
80,Western Alumni,"RT @westernuAlumni : Our first selection for the new Alumni Book Club is Long Bright River by @LizMooreBooks! 

Read the book at your own pace, join in the private forum moderated by PBC Guru, and connect with more than 500 #WesternU grads who have already registered.",0,1,0,0,0,0,0,1,0,2,positive,2
81,Western University,"Reminder #WesternU: vaccination services are unavailable today as the centre is moving to Thames Hall, room 3178. Vaccine services will resume tomorrow in the heart of campus.

Today’s the last day for rapid testing at the Graphic Services Building. https://t.co/wRnrrbudwo",0,1,0,0,0,0,1,0,0,2,positive,2
82,Western University,"Starting March 8, you can #GetBoosted on your way to class! The Vaccination and Testing Centre at #WesternU will move from the Graphic Services Building to Thames Hall, room 3178. 

Vaccine services will be unavailable March 7 to facilitate the move.
https://t.co/wRnrrbudwo",0,0,0,0,0,0,0,0,0,4,positive,4
83,Western University,"Ontario tornado models still use 1970s assumptions, leaving homes unprepared. @westernuEng student Niall Bannigan's research goal is to develop better modelling for improved protection against tornados.

Inspiring Minds showcases graduate research from #WesternU. @VPRWesternU",0,1,0,1,0,0,0,0,1,2,positive,1
84,Western University,"Congratulations to @TesherMusic! 

We can't wait for @TheJUNOAwards, hosted by fellow #WesternU grad @SimuLiu. https://t.co/DyNtpjj2hP",0,1,0,0,0,0,0,1,1,1,neutral,0
85,Western International,"RT @westernuIntl : In collaboration with #WesternU's Ukrainian Students' Association, we will be collecting donated items to provide to the London Ukrainian Centre to support relief efforts for those living in Ukraine. Find information: https://t.co/J6gVNEScWH. @WesternUSC @westernsogs @westernuSE https://t.co/zE47xLBZzy",0,0,0,0,0,0,0,2,0,3,positive,3
86,Ivey Institute for Leadership,"RT @iveyleadership : In short order, Zelenskyy has revealed that character-infused leadership does not serve to provoke but invoke. 
#leadership #chractermatters @iveybusiness @WesternU @kymilani 
https://t.co/wSe5ramifu",0,1,0,0,0,0,0,1,1,0,negative,-1
87,Western University,"#WesternU student and @canadalifeco intern Oleksii Kocheriev longs for peace in #Ukraine, feeling pride for his country and family in the midst of war. @westernuScience https://t.co/zjfvIw0Qvs",1,2,1,2,3,1,1,2,2,3,positive,1
88,Western Libraries,"RT @westernulibs : Hey #WesternU, what's your ideal library experience? We need your input to shape our priorities for the next 4 years. ?? 

Take our survey by March 16 and you could win a $500 gift card to Best Buy, a grocery store gift card, or a Starbucks gift card ????
https://t.co/pRMYxrxAQj https://t.co/JXxcXvBNjj",0,2,0,0,1,0,1,0,0,5,positive,5
89,Western Engineering,"RT @westernuEng : Progress toward a sustainable future requires inclusive clean technology.

That’s what #WesternU alumna Heather Campbell strives toward as Executive Director, Clean Technology with @ABInnovates 

https://t.co/p9rsp0z4B4 https://t.co/4hU8i6Q3Ha",0,1,0,0,2,0,0,2,0,5,positive,5
90,Western University,'Never say can't': #WesternU student and internationally ranked para athlete Madison Wilson-Walker is the 2022 recipient of the @JeffreyKReed Courage Award. @WesternMustangs @Madiewx2 @KingsAtWestern https://t.co/kAFyM2du5D,0,2,0,0,1,0,1,1,0,3,positive,3
91,LondonEDC,"RT @LondonEDC : Join @LondonEDC,@OCInnovation,@FanshaweCollege @BresciaUC @WesternU, and a panel of experts to explore the ideas and technologies that contribute to food system sustainability. 
Join the #Building #Sustainable #Food Systems #Symposium on March 22, 9 am. 
???https://t.co/6OVFB6aYXl",0,1,0,0,1,0,0,2,0,5,positive,5
92,Dr. Rick Ezekiel,RT @RickEzekiel : Happy #WesternDay to my alma mater and all you #Mustangs out there! This place will always feel like a wonderful home to me. Forever #purpleandproud. https://t.co/V3vGpVF5t4,0,1,0,0,2,0,1,2,0,2,positive,2
93,Western University,Congratulations! ???? We’re #PurpleAndProud of you! https://t.co/p5xcNZIPro,0,0,0,0,0,0,0,0,0,0,neutral,0
94,Patrick Searle,"RT @patsearle : 11 years ago, @erika_cas and I were #WesternU O-Week leaders, student council presidents, and big fans of Rick McGhie. Today, we’re reconnecting to celebrate #WesternDay, chat about her winning @survivorcbs, and listening to Rick perform some of his greatest hits! #purpleandproud https://t.co/CzTLGhC0F8",0,2,1,0,1,1,1,2,0,2,positive,2
95,Julie Choja,RT @ChojaJulie : Staff @EagleHeightsPS are #purpleandproud on Western Day!?? https://t.co/87nutBIlB1,0,0,0,0,0,0,0,0,0,0,neutral,0
96,Western Research,RT @VPRWesternU : #Purpleandproud to celebrate #WesternDay with #WesternU Research Staff! https://t.co/BkETCbYBF7,0,0,0,0,0,0,0,0,0,0,neutral,0
97,Danny,"RT @channydang : From O-Week to my time at @WesternUSC, some of my fondest memories are at @WesternU.

#PurpleAndProud today for #WesternDay ??

Here’s a photo of the Science Soph team during training for O-Week 2016! https://t.co/57HSOQiXsb",0,1,0,0,0,0,0,1,0,0,neutral,0
98,Faculty of Information & Media Studies (FIMS),"RT @westernuFIMS : This year’s Western Day celebration features FIMS grad Erika Casupanan… 
You might know her as the first Canadian to win TV’s Survivor ??????

Hear from @erika_cas on how she outwitted, outplayed &amp; outlasted on @survivorcbs - 7pm TONIGHT on Zoom!
https://t.co/RcSzEKbmkF @WesternU",0,1,0,0,1,0,1,1,0,1,positive,1
99,Colin Couchman,"RT @couchman : Celebrating Western Day! #purpleandproud @WesternU MEd'15, EdD'18 https://t.co/synLEhITbr",0,1,0,0,1,0,0,0,0,1,positive,1
100,Western University,"If you're on campus, celebrate Western Day with a free food item from trucks outside Weldon beginning at noon and a free purple donut from eateries around campus! 
(as supplies last) 

Thanks @westernuAlumni and @westernufood! 
#WesternU https://t.co/bN0CsPb8yx",0,0,0,0,1,0,0,1,0,2,positive,2
101,Western Libraries,"RT @westernulibs : Can-can you believe it's been 144 years? Let's celebrate, #WesternU ?????? 

From the bottom of our purple hearts, Happy Western Day ????
#purpleandproud. https://t.co/Qv6eaiDqfA",0,1,0,0,1,1,0,1,1,1,neutral,0
102,Supercal,RT @canadiancal30 : On #WesternDay - have to show some love to the current #VanierCup champions. @WesternMustangs @WesternU @westernuFB #PurpleAndProud @VanierCup https://t.co/KhHzjNJaNX,0,0,0,0,1,0,0,1,0,1,positive,1
