"","DivPosts$X","DivPosts$X.11","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","Sentiment","SentimentScore"
"775","University of Waterloo","Companies at the #UWaterloo’s flagship entrepreneurial incubator @UWVelocity has broken through a major funding milestone. The total amount of funding raised by Velocity companies surpassed $2.4 billion in recent weeks. 

Read this story: https://t.co/ilJ32NVkOA https://t.co/Tt0BsYQByQ",1,0,0,1,0,1,0,1,1,1,"neutral",0
"776","Waterloo Science","RT @WaterlooSci : Congratulations to Professor and Nobel Prize winner Donna Strickland who has been appointed to the Vatican's scientific academy! 

@UWaterloo
https://t.co/XZZK12KpKX",0,1,0,0,1,0,1,2,0,4,"positive",4
"777","Invest Ontario","RT @investontario : Did you know Wish, one of the world’s leading e-commerce platforms and the #1 shopping app in more than 40 countries, was founded by @UWaterloo alumni? Check out the rest of their top 10: https://t.co/vv6Jr47unm  #InvestInOntario",0,2,0,0,1,0,1,4,0,3,"positive",3
"778","University of Waterloo","Travis Ratnam (BASc ’06) remembers the first time he felt self-conscious about his grades. Today, as the co-founder and CEO of @knowledgehook, Ratnam is using lessons learned from that early setback to help other children.

Read his story: https://t.co/RYzBdqyJmm | @travisratnam https://t.co/017Acxoyfr",0,1,0,0,0,1,0,0,1,0,"negative",-1
"779","University of Waterloo","Taly Williams (BASc ’94), who went on to a professional football career, will be honoured with his sister with a mural in his Ontario hometown after a successful campaign by a determined group of kids from J. Douglas Hodgson Elementary School. 

?? https://t.co/TUOivVWyQd https://t.co/Zqyd9TO0nP",0,3,0,0,2,0,0,3,0,5,"positive",5
"780","Indigenous Relations | EDI-R | SVPRO @UWaterloo","RT @uwaterlooHREI : Aug. 1?is Emancipation Day in Canada, highlighting the enactment of the?Slavery Abolition Act?across the British Empire on this day in 1834. Before this, enslavement was legal in what is now Canada.

TY @DrCSTaylor for sharing knowledge &amp; resources: https://t.co/sbIcheM5nO https://t.co/oIOaVU2ZCU",1,1,1,1,2,1,0,2,3,4,"positive",1
"781","University of Waterloo","FYI: #UWaterloo has a vaccine centre in Health Services. Health Services is closed for the Civic Holiday but will be open from Tuesday to Friday next week. Appointments can be scheduled but walk-in appointments are also welcomed.

?? https://t.co/CBfUF0I4Vr | @UW_Wellness https://t.co/AXD9KZ5l7E",0,1,0,0,2,0,0,0,0,3,"positive",3
"782","University of Waterloo","Funding from Vanier Canada Graduate Scholarship will help Manh-Kien Tran, a new chemical engineering doctoral student improve the performance and lifespan of lithium-ion batteries.

Read this story: https://t.co/vD9gvIjuKw | @WaterlooENG https://t.co/3L5DpT0lxw",0,1,0,0,2,0,0,1,0,2,"positive",2
"783","University of Waterloo","@Marcyrtap If you still have questions or concerns, please send them to: coronavirus@uwaterloo.ca. Thanks!",0,0,0,0,0,0,0,0,0,0,"neutral",0
"784","University of Waterloo","Monday, August 2nd is the Civic Holiday, which means that many University operations will be closed or operating under modified hours. 

More details: https://t.co/iAJcyTRzk8 https://t.co/VkZ8msKjnB",0,2,0,0,1,0,0,0,0,3,"positive",3
"785","University of Waterloo","@Marcyrtap @HireWaterloo Hi- Thank you for your message. We understand your concerns. For the fall, classes are split about 50 per cent online and 50 per cent in person. You can find more information on our up-to-date plans here: https://t.co/temzJBv4Tl",0,0,0,0,0,1,0,0,2,1,"negative",-1
"786","University of Waterloo","@Marcyrtap @UWaterlooNews @MeiNagappan @WaterlooMath If you still have questions or concerns, please send them to: coronavirus@uwaterloo.ca. Thanks!",0,0,0,0,0,0,0,0,0,0,"neutral",0
"787","University of Waterloo","@Marcyrtap @UWaterlooNews @MeiNagappan @WaterlooMath Hi- Thank you for your message. We understand your concerns. For the fall, classes are split about 50 per cent online and 50 per cent in person. You can find more information on our up-to-date plans here: https://t.co/temzJBv4Tl",0,0,0,0,0,1,0,0,2,1,"negative",-1
"788","University of Waterloo","Stepanka Elias, executive director of Plant Operations, discusses how her team is working hard to keep us safe as more people return to campus in this week's episode of #BeyondtheBulletin.

Listen here: https://t.co/zNr8Q2GH0O https://t.co/P3gnYis6YK",0,0,0,0,1,0,0,3,0,3,"positive",3
"789","University of Waterloo","After 30 years, #UWaterloo continues to expand its partnership with flagship alumnus company, @BlackBerry. 

“As we expand our partnership with the University of Waterloo, we are excited to see how we foster the next generation of innovators.”  

?? https://t.co/RaUzqVZUvL https://t.co/Hu4wa3scZ3",0,2,0,0,1,0,1,3,0,3,"positive",3
"790","UWaterloo News","RT @UWaterlooNews : #UWaterloo researcher Mei Nagappan and his team found that the perceived race and ethnicity of a software developer based on their online name may determine how their open-source software projects are judged by others.

Read more: https://t.co/klza3JZE9I https://t.co/EoFXciu1OS",0,0,0,0,1,0,0,2,0,1,"positive",1
"791","University of Waterloo","#UWaterloo researchers have discovered that we can train ourselves to be wise. This wisdom can come from practicing a distanced, third-person self-reflection technique. 

Read this story: https://t.co/ijtV1SlqqL | @uwaterlooARTS https://t.co/WymX5sT2KH",0,0,0,0,0,0,0,1,0,2,"positive",2
"792","University of Waterloo","The University of Waterloo has announced it will take a step in addressing the systemic underrepresentation of Indigenous and Black faculty at our institution with the launch of new cluster hiring initiatives.

 More details: https://t.co/pzmK5PJKmt https://t.co/BRfPm5vDic",0,2,0,0,0,1,0,1,1,3,"positive",2
"793","University of Waterloo","Are you new to co-op and want to learn more about it? @HireWaterloo has launched a blog called #MyCoopExperience. The blog includes first-hand co-op experiences from all faculties and a variety of industries.

Click here: https://t.co/bSdYx5HWNy | @HireWaterloo https://t.co/nRC3Vgs7Ct",0,0,0,0,0,0,0,0,0,1,"positive",1
"794","University of Waterloo","FYI: #UWaterloo has a vaccine centre in Health Services. Appointments can be scheduled ahead of time. Walk-in appointments are also accepted at the centre.

More details: https://t.co/CBfUF0I4Vr | @UW_Wellness https://t.co/fjWQ9IeHYs",0,1,0,0,0,0,0,0,0,2,"positive",2
"795","University of Waterloo","A study featuring @UWRecandLeisure Prof. Luke Potwarka found that when #Olympic competitors win medals of any colour, it leads to increased physical activity among youth in the medal winners' hometowns.

Read this story: https://t.co/iAXS9wzzz5 | @TeamCanada @Olympics https://t.co/U1FlnWqxuT",1,2,0,1,3,0,2,2,0,4,"positive",4
"796","University of Waterloo","ICYMI: #UWaterloo has launched @WatSPEEDUW, a new unit that aims to transform lifelong learning. #WatSPEED is a unique approach to providing relevant education that will prepare professionals for a complex future. 

Read more:  https://t.co/lN4uINDK8D https://t.co/sXy8NXJtMG",0,2,0,0,1,0,1,2,0,5,"positive",5
"797","University of Waterloo","#UWaterloo astrophysicist and a global team of scientists have brought into view the black hole at the centre of the M87 galaxy. This black hole is a giant fire-breathing dragon that spews enormous jets of energetic particles at near light speeds.

??https://t.co/VUHDp1tzi4 https://t.co/aQlnSULCPI",0,0,0,3,0,1,0,1,1,1,"neutral",0
"798","University of Waterloo","#UWaterloo researchers have found job postings that focus on how work can be meaningful and contribute to organizational impact draw more interest and result in higher-quality job applications from young people.

Read this story: https://t.co/cOi2vOAyKs https://t.co/ZpqKvlgTKS",0,2,0,0,2,0,1,1,0,6,"positive",6
"799","University of Waterloo","The COVID-19 Rapid Antigen screening site is open and screening eligible asymptomatic employees and students. Same-day walk-in appointments are welcomed. 

Click here: https://t.co/BS6AKEr9OS https://t.co/5sMzuFzqIa",0,0,0,0,1,0,1,0,0,2,"positive",2
"800","University of Waterloo","“Those who play to escape experience greater flow and positive effect than other players, which sets up a cycle of playing video games to elevate a depressed mood.”- Professor Michael Dixon | @uwaterlooARTS https://t.co/USI4ypG5qW",1,1,0,2,0,1,0,1,2,4,"positive",2
"801","University of Waterloo","Bryce Giesbrecht (OD ’21) is one of many #UWaterloo students who received financial assistance through the Student Emergency Support Fund. 

“Because of this funding, I was able to reduce my financial burden. I am truly grateful.""

Read this story: https://t.co/aoUHqBB1G0 https://t.co/jGVvcG9DUD",0,0,0,1,0,1,1,0,1,3,"positive",2
"802","University of Waterloo","David Kim, an Economics MA graduate had an eight-month co-op placement during his graduate degree that helped him advance his professional skills. 

“Co-op at the master’s level is important because it provides you with networking opportunities.” 

?? https://t.co/xV1Ydgb72O https://t.co/xdWCYVq8ak",0,1,0,1,1,0,1,3,0,6,"positive",6
"803","University of Waterloo","Getting vaccinated can bring us all back together, faster. Getting back to doing all of the things we used to love, and visiting all of the places we used to go.

Learn more and book your #COVID19 vaccine appointment through: https://t.co/S71z6MBuyf | #FasterTogether https://t.co/RESifxjSZb",0,0,0,0,1,0,0,0,0,3,"positive",3
"804","University of Waterloo","In the newest episode of #BeyondtheBulletin, @lasg_research director and @ArchWaterloo prof @philiplbeesley discusses the challenges in designing and installing work at the world-famous Venice Architecture Biennale during the pandemic. 

Listen here: https://t.co/ZjPQIc7pue https://t.co/QnWGlf4Biw",0,0,0,1,0,1,0,2,1,2,"positive",1
"805","University of Waterloo","When Danielle Robichaud heard about the discovery of the remains of 215 children at the site of the Kamloops Indian Residential School, she got on Wikipedia. It was not for the reason you might think. 

Read this story: https://t.co/yYkH82SyQA | @UWLibrary https://t.co/DPG9EDsvQM",0,0,1,1,0,0,0,2,1,3,"positive",2
"806","University of Waterloo","@JodiKoberinski @ROWPublicHealth @UWHousing @UWaterlooGSPA @UWaterlooLife Hi Jodi- Thank you for your message. Please have a look at this article:  https://t.co/wVtpAQt5QL",0,0,0,0,0,0,0,0,0,0,"neutral",0
"807","University of Waterloo","@momma72of2 @ROWPublicHealth @UWHousing @UWaterlooGSPA @UWaterlooLife Hi - Thank you for your message. Here's #UWaterloo's plan for the fall term.

Click here: https://t.co/temzJBv4Tl",0,1,0,0,0,1,0,0,1,0,"negative",-1
"808","University of Waterloo","@warrioreowynof1 @ROWPublicHealth @UWHousing @UWaterlooGSPA @UWaterlooLife Hi - Thank you for your message. All first year, upper year, graduate, and live-in student staff are required to be vaccinated with a Health Canada or World Health Organization approved vaccine to live in residence.

More details: https://t.co/w4wYtnnVSf",0,1,0,0,1,0,1,1,0,2,"positive",2
"809","University of Waterloo","ICYMI: #UWaterloo has a vaccine centre located in Health Services. This centre is open for all students, employees, and their families.  

More details: https://t.co/CBfUF0I4Vr | @UW_Wellness https://t.co/o7PPteAt3P",0,0,0,0,0,0,0,0,0,1,"positive",1
"810","University of Waterloo","@AnmolAtWaterloo @UWHousing @UWaterlooGSPA @UWaterlooLife Hi Anmol- to avoid disruption for our students, our academic plan will remain unchanged. See our fall update here https://t.co/8Tq8jy0TJI",1,1,0,2,0,1,1,1,3,1,"negative",-2
"811","University of Waterloo","You can expect expanded in-person experiences such as in labs, libraries, student clubs and services as other public health restrictions lift. 

More details on fall planning: https://t.co/temzJBv4Tl",0,3,0,0,0,1,1,2,1,3,"positive",2
"812","University of Waterloo","#UWaterloo will require students living in our residences during the 2021/22 academic year to provide proof of vaccination against COVID-19.   

We're making these changes based on the new advice we received this week from @ROWPublicHealth. 

See details: https://t.co/w4wYtnnVSf https://t.co/UzOVFRJ7qC",0,0,0,0,0,0,0,4,0,3,"positive",3
"813","University of Waterloo","Rachel Bartholomew(MBET ’14) is a cancer survivor and the founder of @HyivyHealth, a rehab system helping women recover from cervical cancer, gender-affirming surgery and childbirth.

Read her story: https://t.co/FupehIJnKS | #UWaterlooMagazine https://t.co/P4NfUg1e36",1,0,1,2,0,2,0,1,1,0,"negative",-1
"814","University of Waterloo","Tune in to hear @UWaterlooPres on the latest episode of the Canadian Health Information Podcast. He explains what the future may look like on the other side of the pandemic. https://t.co/7BPsLdIPeF",0,0,0,1,0,1,0,0,1,1,"neutral",0
"815","University of Waterloo","Concept 5K is a competition for startups and entrepreneurial ventures, in which teams get to showcase their new or emerging companies and products.

#UWaterloo's startup incubator, @UWVelocity, is behind the yearly @ConceptUW events.

?? https://t.co/kHwPuVu3Rb | @WaterlooMath https://t.co/HzuHTW450z",0,1,0,0,0,0,0,0,1,0,"negative",-1
"816","University of Waterloo","#UWaterloo's vaccine centre at Health Services is now open for students, employees, and their families.  

This is a positive step for #UWaterloo and an important piece of our overall plans to support a safe and staged return to campus. 

 https://t.co/CBfUF0I4Vr | @UW_Wellness https://t.co/Y0nCgs7Mm5",0,0,0,0,1,0,0,2,0,3,"positive",3
"817","University of Waterloo","""What had been initially envisioned as a Canada-wide landscape of pets in the workplace became a tribute to the unconditional love, companionship and inspiration they bring in a world of loss, fear and isolation.""- Nancy Silcox (MA ’75)

Read this story: https://t.co/J355OZuVNZ https://t.co/hG9Yd4QD4u",2,1,0,2,2,2,0,0,3,3,"neutral",0
"818","University of Waterloo","#UWaterloo alumnus and entrepreneur, Armen Bakirtzian is the CEO and co-founder of Intellijoint Surgical Inc.

“Waterloo’s ecosystem is designed for startups. We are here today because of the University."" 

Read his story:https://t.co/wzxw6i4BnD | @intellijoint  @ArmenBakirtzian https://t.co/pO7ocDgjdT",0,1,0,0,0,0,0,0,0,1,"positive",1
"819","Vivek Goel","RT @UWaterlooPres : To help you make sense of these latest changes, I’m inviting you to attend a Forum on July 27 at 1 pm. 

I’ll be joined by a panel of #UWaterloo experts to explore the public health factors that will shape our experiences. 

Register: https://t.co/tYGy9LgztJ",0,3,0,0,1,0,1,1,0,5,"positive",5
"820","University of Waterloo",".@ONtrainandstudy?has signaled that we can expand in person experiences this fall,?and they also indicate that local circumstances should guide decision making.  

“Our current academic approach will remain largely as planned.” See @UWaterlooPres statement below ?? https://t.co/KzlDY85fky",0,0,0,0,0,1,0,3,1,3,"positive",2
"821","University of Waterloo","The trajectory of current research of contact lenses suggests that in time they could be the next consumer wearable smart device, used for entertainment, emails, social media and navigation.

Learn more: https://t.co/8KyoF9g7ue | @COREeyenews @UwOptometry https://t.co/qNIJNdQABv",0,2,0,0,1,0,1,1,0,3,"positive",3
"822","University of Waterloo","Congratulations @ehtelescope and team on this historic discovery!

EHT, which is known for capturing the first image of a #BlackHole, has now imaged the heart of the nearby radio galaxy Centaurus A in unprecedented detail. https://t.co/IvhSrqID9m",0,0,0,0,0,0,1,1,0,2,"positive",2
"823","University of Waterloo","Technovation Girls is shaking things up in the tech industry. 

Teams in @technovation Girls make apps that address a specific social need. As part of the program, students learn about the Sustainable Development Goals, promoted by the @UN.

Read more: https://t.co/7xKtxpPaYj https://t.co/kRFEADSZP3",0,0,0,1,0,0,0,0,1,1,"neutral",0
"824","Indigenous Relations | EDI-R | SVPRO @UWaterloo","RT @uwaterlooHREI : @UWaterloo students, faculty and staff: there are still a few spots available for Wednesday's (July 21, 10am) EQ102 2SLGBTQ+ Fundamentals: an introductory course to gain a baseline understanding of core foundational concepts and frameworks.

Register: https://t.co/zBxujC7I5i https://t.co/0mzP34oX9C",0,1,0,0,1,0,0,2,0,4,"positive",4
"825","University of Waterloo","A serious passion for physics was what drew Parshant Utam to study Mathematical Physics at #UWaterloo. Little did he realize that the University’s entrepreneurial atmosphere would lead him to become a co-founder of @WOMBO, an app that is pure fun.

 https://t.co/Yh61kUxp3z https://t.co/KAuz2U7UCq",0,3,0,0,2,0,0,2,0,6,"positive",6
"826","University of Waterloo","#UWaterloo's vaccine centre in Health Services is now open to students, employees, and their families. 

Book your vaccine appointments here: https://t.co/CBfUF0I4Vr | @UW_Wellness https://t.co/tLKV5F2Mvq",0,0,0,0,0,0,0,0,0,1,"positive",1
"827","Norah McRae, PhD","RT @norahmcrae : Thank you for inviting me to participate in this round table @Communitech it is always a pleasure to discuss #futureofwork and share our experiences @UWaterloo https://t.co/8rE8ZzGsLC",0,2,0,0,2,0,1,2,0,2,"positive",2
"828","University of Waterloo","Getting vaccinated can bring us all back together, faster. Getting back to doing all of the things we used to love, and visiting all of the places we used to go.

Learn more and book your #COVID19 vaccine appointment through: https://t.co/S71z6MjT9F | #FasterTogether https://t.co/iKdN1rfLTY",0,0,0,0,1,0,0,0,0,3,"positive",3
"829","Ontario's Universities","RT @OntUniv : (1/4) As @OntUniv and @OUSAhome prepare to welcome new and returning students this fall, we encourage all faculty, staff and students to get vaccinated against COVID-19. #ONpoli

Read the joint statement: https://t.co/X7gnWSeKpv https://t.co/L9Q1WXKGGR",0,1,0,0,1,1,0,3,1,4,"positive",3
"830","Waterloo Warriors","RT @WlooWarriors : WE. ARE. BACK??

Fall 2021 loading ?? ….. Let’s Gooooooooo! 

@UWaterloo @OUAsport @USPORTSca @WlooMHKY @WlooFTB @WlooSoccer https://t.co/khgJtFeAut",0,0,0,0,0,1,0,0,1,0,"negative",-1
"831","University of Waterloo","On #BeyondtheBulletin, #UWaterloo student design team, designed and built an energy-efficient family home for free. They won US$25K from @ENERGY, and put it towards upgrades to make the house even better. 

Listen here: https://t.co/2Z4Dh2IyPg | @envwaterloo @CNawash https://t.co/YRanZorede",0,1,0,0,0,0,0,2,0,1,"positive",1
"832","University of Waterloo","Khallil Mangalji (BCS ’16) has built two successful businesses in difficult circumstances: one while battling cancer and the other during a global pandemic. He met these challenges with resilience and poise that come from his easygoing approach to life.

https://t.co/zcTAY7ixyi https://t.co/N9WGgKju79",1,1,1,3,1,2,0,1,2,2,"neutral",0
"833","University of Waterloo","Small changes are coming to campus as we move into step 3:

??Employees may return to campus based on dept. safety plans 
??Some services &amp; building times are changing. See details https://t.co/94kJJ2NsXq
 
We'll have more updates on reopening as public health guidance evolves. https://t.co/OKImU3prdd",0,2,0,0,0,0,0,1,1,3,"positive",2
"834","UWaterloo Life","RT @UWaterlooLife : ?? Travelling to Canada for fall term? 

Don't forget to register for the?Waterloo Student Quarantine Package that will begin in August 2021!!

Register now: https://t.co/VwtbeNroOr https://t.co/E7Al7fyVyW",0,0,0,1,0,1,0,0,2,1,"negative",-1
"835","University of Waterloo","#UWaterloo upgrades ventilation systems across campus. 

""There’s a feeling of #UWaterlooPride...as we all band together to maintain our campuses, keep people safe and prepare for the gradual return of our students, faculty and staff in the fall.”

 https://t.co/wVtpAQKGIj https://t.co/vOXlq4sEO9",1,3,1,1,2,2,1,3,2,4,"positive",2
"836","University of Waterloo","#UWaterloo student Mayuri Punithan interviewed Trishala Pillai (BA '16) about the growing importance of doing more and better with less. 

For Pillai, jugaad came to her rescue when the wave of lockdowns hit Toronto in early 2020.

Read her story: https://t.co/3kdXsE4gal https://t.co/8f2qrA0Tv3",1,2,0,0,1,0,1,1,1,2,"positive",1
"837","University of Waterloo","COVID-19 tracking update: 2 people who attended a hockey day camp at #UWaterloo last week have tested positive for COVID-19 and @ROWPublicHealth has declared an outbreak.

Public health has contacted all known close contacts of those affected. See details: https://t.co/lhXKfFPrCj https://t.co/qXP8cPWQFi",0,1,0,0,0,0,0,0,0,1,"positive",1
"838","University of Waterloo","The COVID-19 Rapid Antigen screening site is open and screening eligible asymptomatic employees and students.  Same-day walk-in appointments are welcomed. 

More details: https://t.co/BS6AKEr9OS https://t.co/aIoQtM9hKP",0,0,0,0,1,0,1,0,0,2,"positive",2
"839","AltaML","RT @altaml_com : We are thrilled to collaborate with @UWaterloo and @MicrosoftEduCA to mentor student teams as they tackle real-world #AI use cases from a dream team of partners @RogersMedia @Intuit &amp; @GovCanHealth. https://t.co/6DP1ifxmAB",1,0,0,0,0,0,1,3,0,2,"positive",2
"840","University of Waterloo","Congratulations to Laura Neary and Hannah Thibault who have been chosen as recipients of the 2021 Weston Family Awards in Northern Research!

Read more about their research and the Weston Family Awards: https://t.co/heckhzFzEb https://t.co/YKeEzE52yF",0,0,0,0,0,0,0,0,0,1,"positive",1
"841","University of Waterloo","“The AutoDrive Challenge has been an amazing opportunity for students at the University of Waterloo to explore and contribute to the future of autonomous vehicles with industry leaders such as @GM and @MathWorks,”- Charles Zhang, Captain of WATonomous. #UWaterlooProud https://t.co/Hi8EYbsV1k",1,3,0,1,0,0,0,0,1,4,"positive",3
"842","WatSPEED at the University of Waterloo","RT @WatSPEEDUW : We’re launching a new Digital Certificate in Predictive Analytics for CPAs, in partnership with @CPA_Ontario and @UWaterlooSAF. This certificate will help CPAs and financial professionals harness the power of data to gain a strategic advantage.

Read more: https://t.co/Me0z9K1sAw https://t.co/JKEHrCgsft",0,1,0,0,1,0,0,1,0,4,"positive",4
"843","University of Waterloo","""Despite not completing my degree, I always felt it was an important milestone. I maintained that when I retired, I would finish my degree.

So at the age of 51, I re-applied to math at #UWaterloo."" -Glenn Cooke's (BMath’20) 

Read his story: https://t.co/XnoFdOvQHp https://t.co/KgHIBL8bbc",0,1,0,0,1,0,0,1,0,3,"positive",3
"844","University of Waterloo","The COVID-19 vaccines were produced very quickly, but only because there is a long development history behind the mRNA platform. The existence of mRNA in cells was confirmed in 1961. 

Click the link below for more details. | @WaterlooENG https://t.co/Rmpn18EnHV",0,1,0,0,0,0,0,1,0,2,"positive",2
"845","UWaterloo Co-operative and Experiential Education","RT @HireWaterloo : It's never been more affordable to hire a co-op student.

Learn about funding support for all sizes of businesses to help add a @UWaterloo co-op student to your team.

https://t.co/CRXeNyNClu

#UWaterloo #HireTalent",0,1,0,0,1,0,0,2,0,2,"positive",2
"846","University of Waterloo","#UWaterloo's vaccine centre at Health Services is now open for students, employees, and their families.  

This is a positive step for #UWaterloo and an important piece of our overall plans to support a safe and staged return to campus. 

 https://t.co/CBfUF0I4Vr | @UW_Wellness https://t.co/v1lmtItTE6",0,0,0,0,1,0,0,2,0,3,"positive",3
"847","University of Waterloo","Dean Pearl Sullivan was immensely proud to be part of @WaterlooENG and invested everything she had to make it a better place for our students, faculty members and staff. 

Read this story: https://t.co/uYNichJvrN https://t.co/zQkcOFLv9m",0,1,0,0,1,0,0,2,0,2,"positive",2
"848","University of Waterloo","#UWaterloo is launching #WatSPEED. @WatSPEEDUW will provide non-credit professional education that enables industry professionals to keep pace with emerging technologies and understand their impact on businesses, economies, the environment and societies.

https://t.co/lN4uINDK8D https://t.co/3XfgIwvW0a",0,0,0,0,0,0,0,3,0,3,"positive",3
"849","University of Waterloo","#UWaterloo will open a vaccine centre at Health Services for students, employees, and their families on July 12, 2021. 

This is a positive step for #UWaterloo and an important piece of our overall plans to support a safe and staged return to campus. 

 https://t.co/CBfUF0I4Vr https://t.co/OnMIlpHgzE",0,0,0,0,1,0,0,2,0,3,"positive",3
"850","University of Waterloo","Statistics PhD student Chris Salahub from @WaterlooMath tells stories with data. From reducing risk for cyclists on Zurich's busy streets to building a visualization of travel locations, he analyzes data in real-world situations. 

Find out how: https://t.co/wf0BfLcaQS https://t.co/RhzBC7SnsA",0,1,0,1,0,0,0,1,1,2,"positive",1
"851","University of Waterloo","#UWaterloo will open a vaccine centre at Health Services for students, employees, and their families on July 12. This is a positive step for #UWaterloo and an important piece of our overall plans to support a safe and staged return to campus. 

Learn more: https://t.co/CBfUF0ZGk1 https://t.co/idnzaVc4Vl",0,0,0,0,1,0,0,2,0,4,"positive",4
"852","University of Waterloo","On the #BeyondtheBulletin podcast, @danielleganza from @UWLibrary tells us why her volunteering focuses on truth and reconciliation, Vivek Goel starts as @UWaterlooPres, and a self-driving bus goes for a spin.

Listen here: https://t.co/MwqOtipsc7 https://t.co/hmxxeu7Ha7",0,1,0,0,1,0,0,2,0,2,"positive",2
"853","University of Waterloo","A new robot named MyJay that lights up when it scores a basket is just part of Kerstin Dautenhahn’s vision to build robots that give all children the ability to play games regardless of their abilities.

Read more: https://t.co/48Ws0WJK9N https://t.co/9eFowC1ktD",0,1,0,0,0,0,0,0,0,3,"positive",3
"854","University of Waterloo","Islam is not an ethnicity. Islam is a religion that includes all kinds of people, and different cultures from around the world. A lot of these hatred problems, hatred crimes occur because of their ignorance of the Muslim community. https://t.co/FLCVVPhEGi",1,0,1,1,0,1,0,1,2,1,"negative",-1
"855","Bardish Chagger","RT @BardishKW : Today, on behalf of Minister @MelanieJoly, I announced an investment of $8.2M for @UWaterloo to launch the #AMA. This advanced 3D printing will help businesses get products to market faster, all while protecting our environment by reducing waste. https://t.co/rztXARWKaq https://t.co/5GvNTSdqmN",0,1,1,0,0,0,0,1,1,3,"positive",2
"856","University of Waterloo","New to co-op and wondering what it’s like? The recently launched #MyCoopExperience blog is written by students for students. It showcases first hand co-op experiences across all faculties and a variety of industries. 

Click here: https://t.co/bSdYx5HWNy | @HireWaterloo https://t.co/goA7AzW1A6",0,0,0,0,0,0,0,0,0,0,"neutral",0
"857","University of Waterloo","Bryce Giesbrecht (OD ’21) is one of many #UWaterloo students who received financial assistance through the Student Emergency Support Fund. 

“I am truly grateful that there were generous people able to help students out.”

Read his story: https://t.co/aoUHqBB1G0 https://t.co/CvxoMhGjUG",0,0,0,1,1,1,1,1,1,4,"positive",3
"858","University of Waterloo","Spun out of a startup venture at #UWaterloo in the 1980s, @maplesoft has quietly become one of the world’s leading providers of mathematics software.

Read this story: https://t.co/derT0SFad1 | @globeandmail https://t.co/glOiVWbdXd",0,0,0,0,0,0,0,1,0,0,"neutral",0
"859","University of Waterloo","The COVID-19 Rapid Antigen screening site is open and screening eligible asymptomatic employees and students.  Same-day walk-in appointments are welcomed. 

More details: https://t.co/BS6AKEr9OS https://t.co/y0vpm7PSwp",0,0,0,0,1,0,1,0,0,2,"positive",2
"860","FedDev Ontario","RT @FedDevOntario : Today, Min. Chagger announced an $8.2M investment for @UWaterloo to establish the Additive Manufacturing Alliance, a consortium to help over 90 Small and Medium-Sized Businesses bring almost 30 manufacturing technologies to market. 

News Release: https://t.co/dtnmys6G8p https://t.co/69j3Six8oX",0,0,0,0,0,0,0,2,1,0,"negative",-1
"861","University of Waterloo","Travis Ratnam (BASc ’06) remembers the first time he felt self-conscious about his grades. Today, as the co-founder and CEO of @knowledgehook, Ratnam is using lessons learned from that early setback to help other children.

Read his story: https://t.co/RYzBdqyJmm | @travisratnam https://t.co/H2pekfHBNR",0,1,0,0,0,1,0,0,1,0,"negative",-1
"862","University of Waterloo","#UWaterloo's Department of Kinesiology was the first of its kind in Canada and has helped pioneer the study of human movement science. 

This new name, Department of Kinesiology and Health Sciences, reflects its broad range of research and education. https://t.co/PkKhGyUYFR",0,0,0,0,1,0,0,1,0,3,"positive",3
"863","University of Waterloo","Congratulations, Hannah Thibault and Laura Neary! https://t.co/5vjYiMEA3n",0,0,0,0,0,0,0,0,0,0,"neutral",0
"864","University of Waterloo","#UWaterloo is launching #WatSPEED, a new unit that aims to transform lifelong learning and professional education to support the workforce of the future. 

Read more: https://t.co/lN4uINm9h5 https://t.co/E9MJEaPgqQ",0,0,0,0,0,0,0,1,0,2,"positive",2
"865","University of Waterloo","@UWaterlooPres, Vivek Goel, on big data. “This is one of the things I’m really looking forward to with my new role at Waterloo - is to think about what’s that general level of data literacy that every graduate should have regardless of what discipline they’re in.” https://t.co/QHswG4F7jS",0,0,0,1,0,0,0,2,1,3,"positive",2
"866","Waterloo's Cheriton School of Computer Science","RT @UWCheritonCS : Distinguished Prof Emeritus Peter Forsyth, Ken Vetzal (SAF) &amp; Graham Westmacott (PWL Capital) have received the 2021 Brockett–Shapiro Actuarial Journal Award from @ARIArisk.

Their paper explored optimally investing &amp; spending — don't outlive your savings: https://t.co/77EOWfciH9 https://t.co/mBnXq8Pk9p",0,1,0,0,1,0,1,1,0,5,"positive",5
"867","University of Waterloo","""I'm looking forward to spending time on campus and, as the public health restrictions lift, getting out and meeting as many of you in person as possible.""- Vivek Goel, President and Vice-Chancellor https://t.co/mGNoLgHzti",0,2,0,0,0,0,0,2,1,3,"positive",2
"868","University of Waterloo","When #UWaterloo graduate Krenare Recaj found a photograph of herself as a young refugee in a museum's archival collection, her master's research path was set.

Read Krenare Recaj's story: https://t.co/qA4X0t3cn7 | @uwaterlooARTS https://t.co/pE1vULCO4t",0,1,0,0,2,1,1,1,0,2,"positive",2
"869","University of Waterloo","Getting vaccinated can bring us all back together, faster. 

Learn more and book your #COVID19 vaccine appointment through: https://t.co/S71z6MjT9F | #FasterTogether https://t.co/VtBWIxmaz6",0,0,0,0,0,0,0,0,0,2,"positive",2
