,,Visual Properties,,,,,Labels,,,Graph Metrics,Do Not Edit,,Other Columns,,,,,,,,,,,,,
Western University,Western University,,,,,,,,,,,,2021-04-30T20:27:39.000Z,Fri Apr 30 20:27:39 +0000 2021,2,@molllyfriesen We understand how difficult this past year has been and we applaud you for making it through. Props to you and all your amazing professors! ??,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,
Western University,Western University,,,,,,,,,,,,2021-04-30T17:26:00.000Z,Fri Apr 30 17:26:00 +0000 2021,0,@ZiscoKk We have sent you a DM!,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,0,,,
Western University,Western University,,,,,,,,,,,,2021-04-30T17:23:21.000Z,Fri Apr 30 17:23:21 +0000 2021,2,@mhdestaiteyeh @westernuEdu Congratulations! ????,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,2,,,
Western University,Western University,,,,,,,,,,,,2021-04-30T16:47:00.000Z,Fri Apr 30 16:47:00 +0000 2021,62,"A message to students from #WesternU president Alan Shepard and his dog Meisha as we wrap up the 2020-21 academic year, one that will be remembered for many years to come. https://t.co/DKjUvYRR3r",36,en,"<a href=""https://ads.twitter.com"" rel=""nofollow"">Twitter Ads</a>",Tweet,,1,0,video,https://video.twimg.com/amplify_video/1388155554359615488/vid/640x360/OcSdIDUZdMEgE_4O.mp4?tag=14,
Western University,Western University,,,,,,,,,,,,2021-04-30T16:23:27.000Z,Fri Apr 30 16:23:27 +0000 2021,2,@LuanaLanglois @westernuEng Congrats! We’ll keep our eyes peeled ????,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,2,,,
MLHealthUnit,Western University,,,,,,,,,,,,2021-04-30T00:56:01.000Z,Fri Apr 30 00:56:01 +0000 2021,0,"RT @MLHealthUnit : Starting Friday, April 30 at 8AM, adults 55 years of age and older can book a COVID-19 vaccine appointment in #Middlesex-#LdnOnt at https://t.co/ia8bksk1r6. /1",0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Retweet,http://covidvaccinelm.ca ,2,0,,,
Western University,Western University,,,,,,,,,,,,2021-04-29T23:33:01.000Z,Thu Apr 29 23:33:01 +0000 2021,47,"Thanks, Nicki! We're making progress one shot at a time. https://t.co/8DioEQskMw",0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,https://twitter.com/dr_kaniki/status/1387626244661972992 ,0,0,,,
Western University,Western University,,,,,,,,,,,,2021-04-29T22:23:01.000Z,Thu Apr 29 22:23:01 +0000 2021,30,"Thanks for rolling up your sleeve, Christine! https://t.co/hroasUzKRI",1,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,https://twitter.com/Coachstapleton/status/1387593564058787844 ,0,0,,,
Western University,Western University,,,,,,,,,,,,2021-04-29T17:15:10.000Z,Thu Apr 29 17:15:10 +0000 2021,19,How a native plant giveaway organized by biomedical student Michael Wu led to a campus-wide #sustainability partnership with @WWFCanada #ldnont @westernuSustain #onpse #cdnpse #westernu https://t.co/7PDdpbRDzq,8,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,https://news.westernu.ca/2021/04/wwf-partnership-enhances-sustainability/ ,5,2,,,
Western University,Western University,,,,,,,,,,,,2021-04-29T16:17:01.000Z,Thu Apr 29 16:17:01 +0000 2021,13,"Michael Boushy saw an opening to give back to the #ldnont community. With a lot of non-perishable food items on his hands, he and other #WesternU students decided to donate them to @LondonFoodBank1 before moving home. https://t.co/iXuJYK42ob",6,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,https://lfpress.com/news/local-news/western-mustang-hockey-players-moving-out-collection-scores-for-food-bank ,2,1,,,
Western University,Western University,,,,,,,,,,,,2021-04-29T14:01:58.000Z,Thu Apr 29 14:01:58 +0000 2021,9,"Two-thirds of Canadians face financial stress. Thanks to a @cdnpayroll gift to create the Financial Wellness Lab of Canada, #WesternU researchers are translating data-driven insights into tools to improve financial resilience @westernuScience #ldnont https://t.co/dHZsYCWY6y",7,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,https://news.westernu.ca/2021/04/financial-wellness/ ,2,1,,,
MLHealthUnit,Western University,,,,,,,,,,,,2021-04-29T00:56:01.000Z,Thu Apr 29 00:56:01 +0000 2021,0,"RT @MLHealthUnit : Exciting news! ?? To everyone who’s rolled up their sleeves, to all the healthcare workers putting needles in arms, and to everyone behind the scenes working non-stop to make it all happen - THANK YOU, THANK YOU, THANK YOU! #LdnOnt #Middlesex /1",0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Retweet,,2,0,,,
Western Alumni,Western University,,,,,,,,,,,,2021-04-28T23:33:01.000Z,Wed Apr 28 23:33:01 +0000 2021,0,"RT @westernuAlumni : The first person who comments with the name of Stratford’s Digital Content platform will win a 3-month subscription! #PurplePerks

Did you know @stratfest Artistic Director Antoni Cimolino and Executive Director Anita Gaffney both have honorary degrees from #WesternU? https://t.co/WrwyLrf7FP",0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Retweet,,2,1,photo,https://pbs.twimg.com/media/E0EqkGAWUAQ27fl.jpg,
Western Alumni,Western University,,,,,,,,,,,,2021-04-28T22:09:01.000Z,Wed Apr 28 22:09:01 +0000 2021,0,"RT @westernuAlumni : ""We got a corgi puppy! Named Maple, she's a small dog with a big #PurpleandProud heart (and bark)!"" — #WesternU grad @KevinVuongTO

Submit your news by May 1 to be considered for the fall edition of the Western Alumni Gazette!",0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Retweet,,2,1,,,
Western University,Western University,,,,,,,,,,,,2021-04-28T18:44:01.000Z,Wed Apr 28 18:44:01 +0000 2021,12,"Western's Peter Brown contributed to discovery and recovery of an #asteroid in #Botswana by analyzing sound waves from the #fireball as it penetrated the atmosphere, estimating its energy equaled 1/30th of the Hiroshima atom bomb.  @pgbrown @westernuSpace https://t.co/KF6wJLBSAq",3,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,https://news.westernu.ca/2021/04/botswana-asteroid/ ,3,2,,,
Western University,Western University,,,,,,,,,,,,2021-04-28T18:00:01.000Z,Wed Apr 28 18:00:01 +0000 2021,44,"Way to go, Jason! We appreciate the #WesternU community getting vaccinated, as soon you're eligible. https://t.co/3NP0NwKjZf",1,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,https://twitter.com/westernprof/status/1387131814486097928 ,1,0,,,
MLHealthUnit,Western University,,,,,,,,,,,,2021-04-28T16:44:00.000Z,Wed Apr 28 16:44:00 +0000 2021,0,"RT @MLHealthUnit : Remember when you had to worry about infectious diseases like polio? We don’t either! Why? Because #VaccinesWork . But we all have to do our part and get vaccinated, now more than ever.

RT/share during National Immunization Awareness Week! Learn more @ImmunizedotCa #NIAW2021 https://t.co/2AADt9gxk2",0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Retweet,,2,1,photo,https://pbs.twimg.com/media/Ez6GWNKXEAAPoba.jpg,
Western University,Western University,,,,,,,,,,,,2021-04-28T14:44:01.000Z,Wed Apr 28 14:44:01 +0000 2021,14,"Few #moon craters are named for women. Read in the @nytimes how Western's Catherine Neish is helping to change that, having successfully proposed naming them for Annie Easley, Elisabetta Pierazzo and Marie Tharp. #WomenInSTEM @planet_neish @westernuScience https://t.co/42sGi10BvG",11,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,https://www.nytimes.com/2021/04/27/science/moon-craters-women.html ,2,3,,,
Western University,Western University,,,,,,,,,,,,2021-04-28T10:09:03.000Z,Wed Apr 28 10:09:03 +0000 2021,72,"Today, the flag at #WesternU flies at half-mast, as we mark the National #DayOfMourning to acknowledge workers killed or injured on the job across Canada. #ldnont https://t.co/9aElY1OCZt",16,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,,3,0,photo,https://pbs.twimg.com/media/E0DZxQ7XsAAFAaZ.jpg,
Centre for Teaching and Learning,Western University,,,,,,,,,,,,2021-04-27T23:23:01.000Z,Tue Apr 27 23:23:01 +0000 2021,0,"RT @westernuCTL : Have you registered yet? Don't miss out! Join us at @WesternU CTL's Spring Perspectives on Teaching Conference on May 12, 2021. It's FREE!

For the full online conference program, visit: https://t.co/YHOr72513T

P.S. The Keynote is open to ALL educators, staff, students &amp; alumni! https://t.co/1CARkpfLgp",0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Retweet,https://teaching.uwo.ca/programs/conferences/perspectives-spring.html ,0,1,photo,https://pbs.twimg.com/media/Ez-6OoKX0AMQ_b1.jpg,
City of London,Western University,,,,,,,,,,,,2021-04-27T22:23:01.000Z,Tue Apr 27 22:23:01 +0000 2021,0,"RT @CityofLdnOnt : It’s been a wild April, #LdnOnt. We can all use some #LdnKindness this week.

Whether you’re sharing a message of hope, checking in on a family member who is self-isolating or enjoying new activities with the little ones at home, send us your stories using #LdnKindness. https://t.co/uFb6kTsE3B",0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Retweet,,3,0,photo,https://pbs.twimg.com/media/Ez--M7MXIAEsGRd.jpg,
Western University,Western University,,,,,,,,,,,,2021-04-27T19:22:01.000Z,Tue Apr 27 19:22:01 +0000 2021,57,"Congratulations to @jessicaesinger, one of 12 recipients from across Canada of the Joan Donaldson @CBCNews Scholarship #westernu @westernuFIMS @WesternUMMJC #ldnont https://t.co/0QSl7pQDYW",8,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,https://news.westernu.ca/2021/04/western-student-honoured-with-joan-donaldson-cbc-news-scholarship/ ,2,4,,,
Western Alumni,Western University,,,,,,,,,,,,2021-04-27T17:22:01.000Z,Tue Apr 27 17:22:01 +0000 2021,0,"RT @westernuAlumni : A little snow can't slow down spring at #WesternU! 

A huge thank you to the entire @westernuFM team for keeping our campus looking so gorgeous ????

??: Nastaran Tajoddin
#purpleandproud #ldnont https://t.co/E4AIYDFdax",0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Retweet,,3,1,photo,https://pbs.twimg.com/media/Ez_g-QoX0AE1MMo.jpg,
Western Engineering,Western University,,,,,,,,,,,,2021-04-27T17:21:01.000Z,Tue Apr 27 17:21:01 +0000 2021,0,"RT @westernuEng : #westernuEng professor and head of ICFAR, Franco Berruti sat down with @MeganatLFPress to discuss his team's research in resource recovery and the benefits of converting waste materials into valuable resources. #westernu @VPRWesternU https://t.co/75sDSs95aL",0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Retweet,https://twitter.com/LFPress/status/1384120794784010250 ,2,2,,,
Western University,Western University,,,,,,,,,,,,2021-04-27T11:22:01.000Z,Tue Apr 27 11:22:01 +0000 2021,22,"Seeing growth in the remote-care world, #WesternU #neuroscience spinoff @cambridgebrains is now a leading provider of web-based cognitive function assessments @WORLDiscoveries @Brains_CAN @Comadork #ldnont https://t.co/vSixC7iSHr",8,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,https://news.westernu.ca/2021/04/cambridge-brain-sciences/ ,3,4,,,
Nadine Wathen,Western University,,,,,,,,,,,,2021-04-26T22:23:01.000Z,Mon Apr 26 22:23:01 +0000 2021,0,"RT @NadineWathen : Honoured to be Ontario lead on this important project addressing trauma, violence &amp; substance use stigma @WesternU @VPRWesternU @westernuFHS @westernuNursing https://t.co/h0iBTbVqFL https://t.co/MoRe9V1szx",0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Retweet,https://nursing.ubc.ca/sites/nursing.ubc.ca/files/files/news/attachments/3322_UBC_Pathways_ProjectSummary-PA04.pdf https://twitter.com/EQUIPHealthCare/status/1386728810192588805 ,0,4,,,
Western University,Western University,,,,,,,,,,,,2021-04-26T18:52:57.000Z,Mon Apr 26 18:52:57 +0000 2021,2,"@LisaSLisson Congratulations, Chloe!",0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,0,1,,,
WORLDiscoveries®,Western University,,,,,,,,,,,,2021-04-26T17:20:01.000Z,Mon Apr 26 17:20:01 +0000 2021,0,"RT @WORLDiscoveries : Join us for the Innovation Ambassadors Showcase: COVID-19’s Impact on the Innovation Ecosystem. May 20, 2021 | 9:00am – 12:00pm. Register: https://t.co/fqeva3iOw2 #WesternU #TechTransfer",0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Retweet,https://worldiscoveries.ca/iashowcase/ ,2,0,,,
Western University,Western University,,,,,,,,,,,,2021-04-26T15:24:02.000Z,Mon Apr 26 15:24:02 +0000 2021,8,"#WesternU #COVID19 testing centre is open for students, faculty and staff on Monday, Apr. 26 through Friday, Apr. 30 from 9:30 a.m. to 4:00 p.m. #TakeCareWesternU https://t.co/Emv7vSPjUf",3,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,https://www.uwo.ca/coronavirus/testing.html ,3,0,,,
Western Mustangs,Western University,,,,,,,,,,,,2021-04-25T22:23:02.000Z,Sun Apr 25 22:23:02 +0000 2021,0,"RT @WesternMustangs : Significant and exciting new capital investments in Western Sport and Recreation facilities, including TD Stadium and TRAC, were approved at the Apr 22 Board of Governors meeting. For more details visit: https://t.co/1li5Kw3oev

#WesternMustangs #RunWithUs #SportandRecreation https://t.co/NhkBZcCLFz",0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Retweet,https://bit.ly/3sLEDUk ,3,0,photo,https://pbs.twimg.com/media/EzqQ9wPXMAA_Le0.jpg,
Western University,Western University,,,,,,,,,,,,2021-04-25T17:19:03.000Z,Sun Apr 25 17:19:03 +0000 2021,19,"Slobodan Simonovic has been named to @Reuters Hot List of 1,000 top #climate scientists. A @westernuEng prof and @ICLRCanada director, he's a world-leading authority on applying systems analysis to #watermanagement. @SP_Simonovic @SpecialReports #westernu https://t.co/ckYOqw25ak",6,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,https://www.reuters.com/investigates/special-report/climate-change-scientists-list ,3,5,,,
Western Sustainability,Western University,,,,,,,,,,,,2021-04-24T20:18:01.000Z,Sat Apr 24 20:18:01 +0000 2021,0,"RT @westernuSustain : Very exciting initiatives in @WesternU's 2021-2022 budget, including: ""Significant investment to support greater environmental responsibility, including $10-million to support campus-wide sustainability initiatives and a new, $1-million green innovation fund."" https://t.co/bsWrklF8UA",0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Retweet,https://twitter.com/WesternU/status/1385378012053524481 ,0,1,,,
Western University,Western University,,,,,,,,,,,,2021-04-24T16:17:01.000Z,Sat Apr 24 16:17:01 +0000 2021,18,Out-of-this-world connection: #WesternU alumnus @CosmicRaymond speaks to @cbchh (fellow @westernuAlumni) about experiencing the historic adventures of @NASAPersevere rover from mission control. #purpleandproud @CBCMorningLive @westernuEng https://t.co/CnX25Z2iIs,5,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,https://www.cbc.ca/player/play/1889032771511/ ,2,6,,,
Western University,Western University,,,,,,,,,,,,2021-04-23T17:17:01.000Z,Fri Apr 23 17:17:01 +0000 2021,11,"Corrosion causes major health and infrastructure problems worldwide. Yolanda Hedberg, Canada Research Chair in in Corrosion Science, and her collaborators are bringing attention to the issues as part of #corrosionawarenessday @CRC_CRC @HedbergLab #westernu https://t.co/GZZK8KVlFe",2,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,https://news.westernu.ca/2021/04/corrosion-awareness/ ,2,2,,,
Western University,Western University,,,,,,,,,,,,2021-04-23T13:36:28.000Z,Fri Apr 23 13:36:28 +0000 2021,3,"This highly interactive course features live sessions, access to the Resource Hub, and connections to #WesternU career experts.

Bring your curiosity, and leave thinking differently about your future with concrete ideas you can implement right away. 
https://t.co/V7dBcQEnIn",0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,http://alumni.westernu.ca/career-management/attend-events/life-design-masterclass/ ,1,0,,,
Western University,Western University,,,,,,,,,,,,2021-04-23T13:30:37.000Z,Fri Apr 23 13:30:37 +0000 2021,14,"Especially during times of uncertainty, building a plan for the future can feel like a lot.

In May, experts from @westernuSE and @westernualumni will guide you through the Life Design process and empower you to design a life and career you love. #westernu https://t.co/V7dBcQEnIn",7,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,http://alumni.westernu.ca/career-management/attend-events/life-design-masterclass/ ,1,2,,,
Western University,Western University,,,,,,,,,,,,2021-04-23T11:23:01.000Z,Fri Apr 23 11:23:01 +0000 2021,62,"Congratulations to Kim Baines, Glenn Bauman and Deborah Laliberte-Rudman, named #WesternU Distinguished University Professors. @SchulichMedDent @westernuScience @westernuFHS #cdnpse #onpse https://t.co/ZjmvYWed28",3,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,https://news.westernu.ca/2021/04/western-trio-honoured-with-distinguished-university-professorships/ ,3,3,,,
Stephanie Hayne Beatty,Western University,,,,,,,,,,,,2021-04-23T02:33:01.000Z,Fri Apr 23 02:33:01 +0000 2021,0,RT @StephHBeatty : Facilitating this masterclass was my favourite work experience of 2021. @WesternU students and alumni - I hope you’ll make it your favourite learning experience of 2021! #designyourlife https://t.co/vuWxVeq6ue,0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Retweet,https://twitter.com/westernuAlumni/status/1384900276256186368 ,1,1,,,
Shelley McKellar,Western University,,,,,,,,,,,,2021-04-23T00:56:01.000Z,Fri Apr 23 00:56:01 +0000 2021,0,"RT @ShelleyMcKellar : Dr Fred Banting delivered pancreas lecture in Fall 1920 to @WesternU students ... guess what happened after that? Watch TERRIFIC talk (&amp; great images) by @BantingHouse curator Grant Maltman ""How Insulin Was Discovered"" at https://t.co/e599C3ZS8X  @SchulichMedDent #histmed https://t.co/un2BgWgPmb",0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Retweet,https://diabetesaction.ca/100-years-of-insulin-celebrating-its-impact-on-our-lives/ https://twitter.com/powconrad/status/1384987930633121797 ,1,3,,,
Western University,Western University,,,,,,,,,,,,2021-04-22T23:40:31.000Z,Thu Apr 22 23:40:31 +0000 2021,52,"Western is in a strong position to invest more deeply in its academic and research mission, as demonstrated in its 2021-2022 budget, approved by the Board of Governors earlier today. #onpse #cdnpse #westernu https://t.co/HpVj64ckiZ",9,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,https://news.westernu.ca/2021/04/budget-new-investments/ ,3,0,,,
Dr Bertha Mispireta Garcia,Western University,,,,,,,,,,,,2021-04-22T23:33:02.000Z,Thu Apr 22 23:33:02 +0000 2021,0,RT @berthagarcia5 : And it all started with us! At @WesternU @CityofLdnOnt https://t.co/lQk2jR7iPV,0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Retweet,https://twitter.com/WesternU/status/1385250070040297472 ,0,2,,,
Western Libraries,Western University,,,,,,,,,,,,2021-04-22T22:23:01.000Z,Thu Apr 22 22:23:01 +0000 2021,0,"RT @westernulibs : @GavinOnTheMoon @NASA @westernuSpace @westernsogs @WesternU @westernuScience @epec_epn @EarthSciStA @LPItoday @GradcastRadio @CelestialCitzn We're grateful that @WesternU campus bustles with wildlife, including the (infamous) geese! ???? Each spring when it's gosling season makes our campus days extra special.

#EarthDayEveryDay https://t.co/fzhHTv6Lga",0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Retweet,,1,12,video,https://video.twimg.com/ext_tw_video/1385216015802540036/pu/vid/1280x720/xkaYKAo8y4nqzMEU.mp4?tag=12,
Western University,Western University,,,,,,,,,,,,2021-04-22T20:24:22.000Z,Thu Apr 22 20:24:22 +0000 2021,44,"Michael Kim, a @JuilliardSchool-trained pianist and accomplished academic administrator @UMN_Music has been named the next dean of the Don Wright Faculty of Music at #WesternU. @michaelkimdma @westernuMusic #cdnpse #onpse https://t.co/VVIoCWJbdY",6,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,https://news.westernu.ca/2021/04/michael-kim-new-music-dean/ ,3,4,,,
Western University,Western University,,,,,,,,,,,,2021-04-22T20:19:22.000Z,Thu Apr 22 20:19:22 +0000 2021,15,"@nickikaniki We stand with and echo the flood of tweets by your colleagues. You have made such a significant difference on our campus, and we are sincerely grateful to have had this time with you and for your very meaningful work.",1,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,0,0,,,
Western University,Western University,,,,,,,,,,,,2021-04-22T20:11:02.000Z,Thu Apr 22 20:11:02 +0000 2021,1,@AllieSchmidt_ Welcome to #WesternU! #letsdothis,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,2,1,,,
Western University,Western University,,,,,,,,,,,,2021-04-22T19:23:01.000Z,Thu Apr 22 19:23:01 +0000 2021,31,"As we mark #EarthDay, work on sustainable policies, practice and research continues across our campus. Those efforts have led @THEworldunirank to place #WesternU in the top 5% of the world's universities in sustainable impact. #sustainability https://t.co/LCDrWp7evn",17,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,https://news.westernu.ca/2021/04/top-tier-in-global-sustainability-rankings/ ,3,1,,,
Claire Park,Western University,,,,,,,,,,,,2021-04-22T16:17:01.000Z,Thu Apr 22 16:17:01 +0000 2021,0,"RT @ClaireKSPark : I’ve been reading #MedicalPhysics articles since the first year of my undergraduate in 2014. I’ve been an aspiring Medical Physicist since then!

Today’s a special day! ??

Now in print??https://t.co/yKFDLReIw6 https://t.co/2QG4L9Nwa1",0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Retweet,http://doi.org/10.1002/mp.14768 ,1,0,photo,https://pbs.twimg.com/media/EzgkQNBXIAMEvJd.jpg,
Western University,Western University,,,,,,,,,,,,2021-04-22T15:15:44.000Z,Thu Apr 22 15:15:44 +0000 2021,8,"Banting went on to collaborate with Charles Best, James Collip and John Macleod (@UofT) to go from idea to effective use in patients in just three years, saving millions of lives. Coming together to pioneer health innovation is in our history, and it's our path forward too.",1,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,0,1,,,
Western University,Western University,,,,,,,,,,,,2021-04-22T15:15:44.000Z,Thu Apr 22 15:15:44 +0000 2021,19,"At 2 a.m. on Oct. 31, 1920, a young lecturer at #WesternU dreamt up the idea of insulin as a treatment for diabetes, “setting off a chain reaction that became one of the greatest medical discoveries of our time.” That young man was Sir Frederick Banting. https://t.co/Pr4JpbmTFK",2,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,https://news.westernu.ca/2020/10/the-great-diabetes-idea-100-years-later/ ,1,0,,,
Western University,Western University,,,,,,,,,,,,2021-04-22T15:12:08.000Z,Thu Apr 22 15:12:08 +0000 2021,54,A stamp that reminds us that we've been saving lives together for more than 100 years? We'll proudly add that to our envelopes.,18,en,"<a href=""https://ads-api.twitter.com"" rel=""nofollow"">Twitter for Advertisers.</a>",Tweet,,0,0,,,
Marc Joanisse,Western University,,,,,,,,,,,,2021-04-22T11:08:01.000Z,Thu Apr 22 11:08:01 +0000 2021,0,"RT @drmarcj : New paper alert! I'm really excited about this one: a connectome-wide analysis of white-matter structure in children with dyslexia/reading disability vs. typical readers. (1/5) 
@BMI_WesternU @Brains_CAN @WesternU @westernuPsych https://t.co/TJ3P8j6g8b",0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Retweet,https://twitter.com/cllou1991/status/1384878437517639682 ,0,4,,,
Dr. Kate H. Choi,Western University,,,,,,,,,,,,2021-04-22T10:09:01.000Z,Thu Apr 22 10:09:01 +0000 2021,0,RT @KateHeeChoi : Fabulous story by @JeffRenaud99 about our work on multiracial children's risk of experiencing family instability. https://t.co/HjEN3auE3I  @regoldberg50  @westernuNEST @westernuSocSci @WesternU @WesternuSOC,0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Retweet,https://news.westernu.ca/2021/04/multiracial-children/ ,0,6,,,
"Maxwell Smith, PhD",Western University,,,,,,,,,,,,2021-04-22T03:31:01.000Z,Thu Apr 22 03:31:01 +0000 2021,0,"RT @maxwellsmith : Should COVID-19 vaccinations be mandatory? If so, under what conditions and in what contexts? New policy brief outlining ethical considerations and caveats from our @WHO Ethics &amp; COVID-19 Working Group: https://t.co/7VPxZxRSw6",0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Retweet,https://apps.who.int/iris/handle/10665/340841 ,0,1,,,
Western Engineering,Western University,,,,,,,,,,,,2021-04-22T02:33:01.000Z,Thu Apr 22 02:33:01 +0000 2021,0,"RT @westernuEng : Excited to see #CanCode renewed in #Budget2021! Since the creation of this initiative, we’ve been able to engage 30,000 youth in #coding and #digitalskills building hands-on activities and we are looking forward to building onto that success with @ActuaCanada
@Actua_CEO @WesternU https://t.co/tAkzlDD9wE",0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Retweet,,4,2,photo,https://pbs.twimg.com/media/EzbM8DMWYAAx2Gc.jpg,
Western University,Western University,,,,,,,,,,,,2021-04-22T01:29:32.000Z,Thu Apr 22 01:29:32 +0000 2021,1,@Olivia_H_R And here we are happy to be your fifth follower! Welcome to #WesternU!,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,1,1,,,
Cody Groat,Western University,,,,,,,,,,,,2021-04-22T00:56:01.000Z,Thu Apr 22 00:56:01 +0000 2021,0,"RT @cwilliamg : It’s official! As of July 1st, I’ll be joining @WesternU as an Assistant Professor in the Department of History! It’s a joint-appointment with the Indigenous Studies Program. I can’t wait to start this exciting new chapter, and want to thank @SFUHistory for a great year! https://t.co/T0gkEVsqre",0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Retweet,,0,2,photo,https://pbs.twimg.com/media/Ezb2VcqWUAAzEpc.jpg,
Centre for Teaching and Learning,Western University,,,,,,,,,,,,2021-04-21T23:33:01.000Z,Wed Apr 21 23:33:01 +0000 2021,0,"RT @westernuCTL : Registration for our annual @WesternU CTL Spring Perspectives on Teaching Conference is now OPEN!

Keynote: 
""More than a diverse reading list: Challenging an antiblack pedagogy"" by Dr. Philip Howard (@PhilipSSHoward)

??For full conference details, visit: https://t.co/YHOr72513T https://t.co/7BM9U5xTPa",0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Retweet,https://teaching.uwo.ca/programs/conferences/perspectives-spring.html ,0,2,photo,https://pbs.twimg.com/media/EzV-r04VoAActCq.jpg,
Western University,Western University,,,,,,,,,,,,2021-04-21T22:09:01.000Z,Wed Apr 21 22:09:01 +0000 2021,16,"Making the cover of the journal you've been reading since day one of university! Congratulations, @ClaireKSPark! #purpleandproud https://t.co/GtjgzFkZ5u",0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,https://twitter.com/ClaireKSPark/status/1384896749853159429 ,1,1,,,
Western University,Western University,,,,,,,,,,,,2021-04-21T21:43:28.000Z,Wed Apr 21 21:43:28 +0000 2021,3,"@DrMedPhys @ClaireKSPark @aapmHQ @MedphysCA @SchulichMedDent @westernuBIRC @OICR_news @NSERC_CRSNG @WesternU_CTCR We can't echo this enough! Huge achievement, @ClaireKSPark! #purpleandproud",0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,1,10,,,
