,,Visual Properties,,,,,Labels,,,Graph Metrics,Do Not Edit,,Other Columns,,,,,,,,,,,,,
University of Waterloo,University of Waterloo,,,,,,,,,,30,,2022-03-14T18:10:34.000Z,Mon Mar 14 18:10:34 +0000 2022,0,"RT @UWaterloo : Madeline Schizas competed at the #Beijing2022 Winter #Olympics recording a personal best of 69.60 points in the women’s short program portion. She lifted #Canada to fourth from sixth and moved the country into the five-team final round.

?? https://t.co/2z7W00X5tx | #UWaterloo https://t.co/Pp95HXqpkv",0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,https://bit.ly/3640SQ2 ,4,0,photo,https://pbs.twimg.com/media/FNvPhprVEAAgi4z.jpg,https://pbs.twimg.com/media/FNWn5niUUAUBAL7.jpg
Ontario's Universities,University of Waterloo,,,,,,,,,,31,,2022-03-14T16:09:51.000Z,Mon Mar 14 16:09:51 +0000 2022,0,"RT @OntUniv : To help identify COVID-19 variants before they emerge, a team of researchers at @UWaterloo have developed an #AI-based software that can help predict and identify the most likely mutations of SARS-CoV-2 pathogens. #ONpoli
https://t.co/9kqOAVrXWF",0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,https://ontariosuniversities.ca/stories/harnessing-artificial-intelligence-to-identify-covid-19-variants-early ,2,1,,,https://pbs.twimg.com/media/FNWPpJHVgAobDCJ.jpg
University of Waterloo,University of Waterloo,,,,,,,,,,32,,2022-03-14T14:20:11.000Z,Mon Mar 14 14:20:11 +0000 2022,21,"#UWaterloo researchers at @UWaterloo's Centre for Eye and Vision Research are developing new technologies to deliver sight-saving drugs to the eye.

Read more: https://t.co/hISdI1DQFj https://t.co/vKGqZTk82U",8,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://bit.ly/3t8Ponh ,1,1,photo,https://pbs.twimg.com/media/FN0PeyAXMAIxq2D.jpg,https://pbs.twimg.com/media/FNVw4PuWYAM66aW.jpg
University of Waterloo,University of Waterloo,,,,,,,,,,33,,2022-03-13T15:00:02.000Z,Sun Mar 13 15:00:02 +0000 2022,43,"Madeline Schizas competed at the #Beijing2022 Winter #Olympics recording a personal best of 69.60 points in the women’s short program portion. She lifted #Canada to fourth from sixth and moved the country into the five-team final round.

?? https://t.co/2z7W00X5tx | #UWaterloo https://t.co/Pp95HXqpkv",5,en,"<a href=""http://www.socialbakers.com/"" rel=""nofollow"">Emplifi</a>",Tweet,https://bit.ly/3640SQ2 ,4,0,photo,https://pbs.twimg.com/media/FNvPhprVEAAgi4z.jpg,https://pbs.twimg.com/media/FNVoXQHXsAgHocI.jpg
University of Waterloo,University of Waterloo,,,,,,,,,,34,,2022-03-12T14:30:03.000Z,Sat Mar 12 14:30:03 +0000 2022,21,"Eugenia Dadzie, a master’s student from the Department of Biology won this year's @UWaterlooGSPA #GRADflix competition for her video Microbes and Enzymes: Sustainable plastic degradation!

Read here story: https://t.co/ibsvdupd3l | @WaterlooSci https://t.co/VSCpKZPI7M",4,en,"<a href=""http://www.socialbakers.com/"" rel=""nofollow"">Emplifi</a>",Tweet,https://bit.ly/3tIwtin ,1,2,photo,https://pbs.twimg.com/media/FNp_Ed1UcAUrmls.jpg,https://pbs.twimg.com/media/FNQIQHiUYAIQX8y.jpg
University of Waterloo,University of Waterloo,,,,,,,,,,35,,2022-03-11T20:00:03.000Z,Fri Mar 11 20:00:03 +0000 2022,9,"On the @uwdailybulletin podcast #BeyondtheBulletin, @envwaterloo student and @TeamCanada figure skater @MaddieSchizas discusses her first #Olympics and balancing #skating and her @UWaterloo studies. 

More: https://t.co/oiDTw89WDp https://t.co/wmkN6l2YVT",1,en,"<a href=""http://www.socialbakers.com/"" rel=""nofollow"">Emplifi</a>",Tweet,https://bit.ly/3I6Qzrr ,3,5,photo,https://pbs.twimg.com/media/FNmBA8IUUAIuGJq.jpg,https://pbs.twimg.com/media/FNQYV7zXEAE3KBN.jpg
UWaterloo News,University of Waterloo,,,,,,,,,,36,,2022-03-11T17:02:51.000Z,Fri Mar 11 17:02:51 +0000 2022,0,"RT @UWaterlooNews : The war in Ukraine is having impact upon many in our #UWaterlooCommunity. Here's further details on @UWaterloo’s response in the wake of the Russian invasion in Ukraine.

Read more: https://t.co/yWaIsiRgkU | #UWaterlooNews https://t.co/SQENZqoGeK",0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,https://bit.ly/37nveO1 ,2,1,photo,https://pbs.twimg.com/media/FNlXjKiXwAk0UQX.jpg,https://pbs.twimg.com/media/FNAxsGXWUAEhEpr.jpg
University of Waterloo,University of Waterloo,,,,,,,,,,37,,2022-03-11T14:44:57.000Z,Fri Mar 11 14:44:57 +0000 2022,12,"More people will have access to education at #UWaterloo through a $2 million gift from The Joyce Family Foundation. #UWaterloo students facing barriers to higher education will have a new resource to help them achieve their goals.

??https://t.co/dTI3tTdhWg | #UWaterlooCommunity https://t.co/dC4mn0M6pN",0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://bit.ly/35IpTk0 ,3,0,photo,https://pbs.twimg.com/media/FNktAV2XoAgFI_y.jpg,
Vivek Goel,University of Waterloo,,,,,,,,,,38,,2022-03-10T21:18:19.000Z,Thu Mar 10 21:18:19 +0000 2022,0,"RT @UWaterlooPres : We will maintain our current mask-wearing requirement until at least the end of the Winter term. It is our hope that this helps minimize uncertainty and disruption and continues to support our students, staff, faculty and University community. https://t.co/U7BHpKrZWp",0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,https://twitter.com/UWaterloo/status/1502028542758035460 ,0,0,,,https://pbs.twimg.com/media/FNLMk0vUYAgZH58.jpg
University of Waterloo,University of Waterloo,,,,,,,,,,39,,2022-03-10T21:08:05.000Z,Thu Mar 10 21:08:05 +0000 2022,113,"At #UWaterloo, to minimize the potential for disruption to the end of the term schedule and exams, we will maintain our current mask-wearing requirement until at least the end of the Winter term.

Learn more: https://t.co/TKo0diUEuH https://t.co/gfwsIqDXgg",32,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,https://bit.ly/3sZY8fg ,1,0,photo,https://pbs.twimg.com/media/FNhG0UgXEAI0e3w.jpg,https://pbs.twimg.com/media/FNF2STDWQAgqxXo.jpg
University of Waterloo,University of Waterloo,,,,,,,,,,40,,2022-03-10T21:08:05.000Z,Thu Mar 10 21:08:05 +0000 2022,11,"Yesterday the Chief Medical Officer of Health for @ONgov shared an update and statement on changes to the mandatory masking requirement. From March 21, the province will lift the mandatory masking requirement in most settings, including post-secondary institutions.",1,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,0,1,,,https://video.twimg.com/ext_tw_video/1499825401379573762/pu/pl/WpX9zHzaG3sY_KOQ.m3u8?tag=12&container=fmp4
Waterloo Mathematics,University of Waterloo,,,,,,,,,,41,,2022-03-10T19:53:54.000Z,Thu Mar 10 19:53:54 +0000 2022,0,"RT @WaterlooMath : Celebrate #PiDay with a virtual #MathDeansLecture! Hear bout the future of #UWaterloo math, and learn from @anita_layton about how math is being used in critical drug discovery and development.
Register: https://t.co/eVVIpMBfeC https://t.co/xulL7TGrm6",0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,https://bit.ly/3sZLOc5 ,3,1,photo,https://pbs.twimg.com/media/FNfsAHiVIAE_npd.jpg,https://pbs.twimg.com/media/FNA43ZkXMAUkdcR.jpg
UWaterloo News,University of Waterloo,,,,,,,,,,42,,2022-03-10T15:04:13.000Z,Thu Mar 10 15:04:13 +0000 2022,0,"RT @UWaterlooNews : Q and A with the experts: War and the threat to Canada. 

#UWaterloo professor Veronica Kitchen answers questions about Canadian security in a more dangerous world. 

Read more: https://t.co/Aq15Tpf4D6 | #UWaterlooNews https://t.co/KFiAtPRapW",0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,https://bit.ly/3w1tnJ7 ,2,0,photo,https://pbs.twimg.com/media/FNfzFTeVkAU4Tzm.jpg,https://pbs.twimg.com/media/FNA4wt7WUAAFeHY.jpg
University of Waterloo,University of Waterloo,,,,,,,,,,43,,2022-03-09T21:00:23.000Z,Wed Mar 09 21:00:23 +0000 2022,12,"Danielle Rose's #startup @CeragenGrow is a #biotech company that is innovating #Canadian agriculture and has the potential to transform the global agriculture sector.

Read her story: https://t.co/3ANzLM4uKR | @WaterlooSci #UWaterloo https://t.co/cX3AilWNQD",6,en,"<a href=""http://www.socialbakers.com/"" rel=""nofollow"">Emplifi</a>",Tweet,https://bit.ly/3HVKPRh ,4,2,photo,https://pbs.twimg.com/media/FNb7pIkUYAQ6TYa.jpg,
University of Waterloo,University of Waterloo,,,,,,,,,,44,,2022-03-09T19:55:16.000Z,Wed Mar 09 19:55:16 +0000 2022,3,"Frances Westley is the J.W. McConnell Chair of Social #Innovation at @UWaterloo. Listen to her as she discusses what it takes to be a successful system-level activist on 'The New Human Movement' podcast. 

More: https://t.co/m3hhz4mRVM | @FastCompany @siguw
 #UWaterloo",1,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://bit.ly/3MvRqp8 ,2,3,,,https://pbs.twimg.com/media/FM7yPtuUYAsySZM.jpg
University of Waterloo,University of Waterloo,,,,,,,,,,45,,2022-03-09T15:22:56.000Z,Wed Mar 09 15:22:56 +0000 2022,31,We will give you a hint: https://t.co/eZbRt7PndI https://t.co/qKSBinMfZG,3,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://bit.ly/3hTgkRv https://twitter.com/UWscidean/status/1501318591441870849 ,0,0,,,https://pbs.twimg.com/media/FMsHPgPXwAc23tB.jpg
Institute for Quantum Computing (IQC),University of Waterloo,,,,,,,,,,46,,2022-03-09T15:12:17.000Z,Wed Mar 09 15:12:17 +0000 2022,0,"RT @QuantumIQC : Last year was first-rate for Canadian research excellence. William Slofstra, IQC and @WaterlooMath professor, was a recipient of the @SloanFoundation research fellowship for his work on the mathematics of #quantum computing. https://t.co/HfAlTXpfLs https://t.co/I7QYSFKXyc",0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,https://www.univcan.ca/award-winners-2021/ ,1,2,photo,https://pbs.twimg.com/media/FNadfbrX0AIYvmm.jpg,https://pbs.twimg.com/media/FM7pHJSWYAIelrz.jpg
