"","Post","Entity","Position","Type","message"
"58","1055","Terry McQuaid","1","Person","Terry McQuaid and @NadineWathen will lead #WesternU's newly formed action committee on gender-based and sexual violence. With a diverse group, they will examine student safety on campus and make recommendations for action. #ldnont #cdnpse https://t.co/hSo1Y0Z8iH"
"59","1058","Kamestastin Lake","97","Location","RT @drcrater : Excited to see my article for @CanGeo published! Learn more about my trip to the Kamestastin Lake region with astronauts @Astro_Kutryk @dominickmatthew - Why a Labrador crater is the perfect training ground for future moon explorers https://t.co/bQWI7KGdLx @WesternU @RCGS_SGRC"
"60","1058","U @RCGS_SGRC","281","Location","RT @drcrater : Excited to see my article for @CanGeo published! Learn more about my trip to the Kamestastin Lake region with astronauts @Astro_Kutryk @dominickmatthew - Why a Labrador crater is the perfect training ground for future moon explorers https://t.co/bQWI7KGdLx @WesternU @RCGS_SGRC"
"61","1059","Thanksgiving to","26","Date","RT @westernufood : Happy Thanksgiving to?our?#WesternU community!??? 

Please note that all eateries on campus at @WesternU will be closed from Saturday, October 9 to Monday, October 11.? 

See hours here:?https://t.co/aGGqsMCyff?? 
#thanksgiving https://t.co/c3q31mcCCu"
"62","1059","Saturday","145","Date","RT @westernufood : Happy Thanksgiving to?our?#WesternU community!??? 

Please note that all eateries on campus at @WesternU will be closed from Saturday, October 9 to Monday, October 11.? 

See hours here:?https://t.co/aGGqsMCyff?? 
#thanksgiving https://t.co/c3q31mcCCu"
"63","1059","October 9","155","Date","RT @westernufood : Happy Thanksgiving to?our?#WesternU community!??? 

Please note that all eateries on campus at @WesternU will be closed from Saturday, October 9 to Monday, October 11.? 

See hours here:?https://t.co/aGGqsMCyff?? 
#thanksgiving https://t.co/c3q31mcCCu"
"64","1059","Monday","168","Date","RT @westernufood : Happy Thanksgiving to?our?#WesternU community!??? 

Please note that all eateries on campus at @WesternU will be closed from Saturday, October 9 to Monday, October 11.? 

See hours here:?https://t.co/aGGqsMCyff?? 
#thanksgiving https://t.co/c3q31mcCCu"
"65","1059","October 11.","176","Date","RT @westernufood : Happy Thanksgiving to?our?#WesternU community!??? 

Please note that all eateries on campus at @WesternU will be closed from Saturday, October 9 to Monday, October 11.? 

See hours here:?https://t.co/aGGqsMCyff?? 
#thanksgiving https://t.co/c3q31mcCCu"
"66","106","University","184","Organization","Moderate physical activity can prevent severe outcomes for people who contract #COVID19, according to a new international study involving #WesternU researchers. @SchulichMedDent @WitsUniversity https://t.co/yUApHiYkrS"
"67","1060","U's Equity Census.","40","Organization","RT @trnnm_k : I just completed @WesternU's Equity Census. I'm not an expert on the topic by any means, but having spent time on campus working on student advocacy projects, I'm really excited that the university is taking steps like this one. ??"
"68","1062","Medical","19","Organization","RT @UA_magazine : Medical students at @WesternU now have an opportunity to experience interdisciplinary, experiential learning by doing an advanced degree or diploma while completing their MD. https://t.co/ggl7U1d9sI #CdnPSE https://t.co/UqW5cwh4aW"
"69","1064","this Wednesday","94","Date","RT @westernuFIMS : From FIMS to Fiji? ??
 
We’re rooting for @westernuFIMS alumna @erika_cas this Wednesday (and every Wednesday!) on #Survivor41
 
Catch the next episode tonight on @GlobalTV ????
@WesternU @westernualumni #purpleandproud ?? https://t.co/C3GHpXtsiw"
"70","1064","Wednesday","120","Date","RT @westernuFIMS : From FIMS to Fiji? ??
 
We’re rooting for @westernuFIMS alumna @erika_cas this Wednesday (and every Wednesday!) on #Survivor41
 
Catch the next episode tonight on @GlobalTV ????
@WesternU @westernualumni #purpleandproud ?? https://t.co/C3GHpXtsiw"
"71","1066","WesternU Equity Census","6","Organization","The #WesternU Equity Census is our first-ever comprehensive demographic survey of all staff, students and faculty. This is an important step towards a more inclusive culture for students, faculty, staff, and graduates."
"72","107","Fuller","107","Organization","So how is that sustainable, techno-utopian future looking, 50 years after visionary architect Buckminster Fuller's visit to #LdnOnt? A new @MuseumLondon exhibition curated by #WesternU's @kirsty_robertso and @sarah_ek_smith shows us. @westernuVisArts https://t.co/OR5VhreqXZ https://t.co/YcBy7ZfKON"
"73","107","Buckminster Fuller","95","Person","So how is that sustainable, techno-utopian future looking, 50 years after visionary architect Buckminster Fuller's visit to #LdnOnt? A new @MuseumLondon exhibition curated by #WesternU's @kirsty_robertso and @sarah_ek_smith shows us. @westernuVisArts https://t.co/OR5VhreqXZ https://t.co/YcBy7ZfKON"
"74","1070","North America","44","Location","Did you know nearly a billion birds die in North America each year due to preventable window collisions? #WesternU is helping protect the winged wildlife by retrofitting windows with bird-deterring decals. @westernuFM @eyeonthefly #sustainability https://t.co/BMZXhkVn1g"
"75","1070","a billion","21","Money","Did you know nearly a billion birds die in North America each year due to preventable window collisions? #WesternU is helping protect the winged wildlife by retrofitting windows with bird-deterring decals. @westernuFM @eyeonthefly #sustainability https://t.co/BMZXhkVn1g"
"76","1071","2023","75","Date","Shaily Brahmbhatt and Jelena Poleksic, @SchulichMedDent Medicine Class of 2023, are the first students to pursue graduate degrees while completing their MDs, through #WesternU's new MD+ program. Best of luck to @justshaily and Jelena! https://t.co/0LsTjXrhBM"
"77","1072","today","60","Date","We will be testing the #WesternU weather siren around noon today (https://t.co/SWkaoNDbAp). A campus-wide test of Alert WesternU, our emergency mass notification system, will take place at 12:30 p.m (https://t.co/WpraixYVm9). #ldnont"
"78","1072","12:30","190","Date","We will be testing the #WesternU weather siren around noon today (https://t.co/SWkaoNDbAp). A campus-wide test of Alert WesternU, our emergency mass notification system, will take place at 12:30 p.m (https://t.co/WpraixYVm9). #ldnont"
"79","1073","Wednesday","107","Date","Join #WesternU's inaugural Associate Vice-President of Equity, Diversity and Inclusion, @OpiyoOloya, this Wednesday at 2 p.m. for a discussion on how we advance #EDI at Western and across #CdnPSE. Registration is free for all: https://t.co/TceoP5PApq"
"80","1074","Aaron Allen","201","Person","Join us in showing our #LocalLove at Show Your Local Love Fest on October 7, 11:30 a.m. - 1 p.m. on Renaissance Square (beside Concrete Beach). Enjoy games, food and live music from @MikalynMusic and Aaron Allen. Support @unitedwayemca and join the community recovery. https://t.co/H4MTVdFf6u"
"81","1074","October 7","67","Date","Join us in showing our #LocalLove at Show Your Local Love Fest on October 7, 11:30 a.m. - 1 p.m. on Renaissance Square (beside Concrete Beach). Enjoy games, food and live music from @MikalynMusic and Aaron Allen. Support @unitedwayemca and join the community recovery. https://t.co/H4MTVdFf6u"
"82","1074","Concrete Beach","128","Location","Join us in showing our #LocalLove at Show Your Local Love Fest on October 7, 11:30 a.m. - 1 p.m. on Renaissance Square (beside Concrete Beach). Enjoy games, food and live music from @MikalynMusic and Aaron Allen. Support @unitedwayemca and join the community recovery. https://t.co/H4MTVdFf6u"
"83","1075","FanshaweCollege","52","Person","RT @MLHealthUnit : A reminder for #WesternU &amp; #FanshaweCollege students heading home for the fall break.??

Keep your social circle as small as possible this week to reduce your risk of taking COVID home. Wishing you a safe &amp; happy study break. ??

@FanshaweCollege @FanshaweSU @WesternU @WesternUSC"
"84","1075","fall","98","Date","RT @MLHealthUnit : A reminder for #WesternU &amp; #FanshaweCollege students heading home for the fall break.??

Keep your social circle as small as possible this week to reduce your risk of taking COVID home. Wishing you a safe &amp; happy study break. ??

@FanshaweCollege @FanshaweSU @WesternU @WesternUSC"
"85","1075","this week","158","Date","RT @MLHealthUnit : A reminder for #WesternU &amp; #FanshaweCollege students heading home for the fall break.??

Keep your social circle as small as possible this week to reduce your risk of taking COVID home. Wishing you a safe &amp; happy study break. ??

@FanshaweCollege @FanshaweSU @WesternU @WesternUSC"
"86","1075","U @WesternUSC","295","Location","RT @MLHealthUnit : A reminder for #WesternU &amp; #FanshaweCollege students heading home for the fall break.??

Keep your social circle as small as possible this week to reduce your risk of taking COVID home. Wishing you a safe &amp; happy study break. ??

@FanshaweCollege @FanshaweSU @WesternU @WesternUSC"
"87","1076","Frederick Banting","132","Person","The discovery of insulin is an incredibly proud moment for @Canada and locally here in #LdnOnt. Did you know that the idea came to Frederick Banting while living at @BantingHouse, after a weekend in the #WesternU med school library? https://t.co/t7qMRZSILp"
"88","1082","Western University","52","Organization","RT @CTVLondon : A new cardiac patch developed by a Western University professor looks to assist heart attack survivors avoid a transplant by restoring the blood pumping function to the organ.  https://t.co/46x2JTYCKc"
"89","1083","This week","1","Date","This week's #COVID19 vaccination &amp; testing hours for #WesternU students and employees:
Monday, Oct. 4: 9 a.m. - 8 p.m. 
Tuesday, Oct. 5: 9 a.m. - 5 p.m.
Wednesday, Oct. 6: 9 a.m. - 8 p.m. 
Thursday, Oct. 7 and Friday, Oct. 8: 9 a.m. - 5 p.m. 
https://t.co/wRnrrbudwo"
"90","1083","Monday","92","Date","This week's #COVID19 vaccination &amp; testing hours for #WesternU students and employees:
Monday, Oct. 4: 9 a.m. - 8 p.m. 
Tuesday, Oct. 5: 9 a.m. - 5 p.m.
Wednesday, Oct. 6: 9 a.m. - 8 p.m. 
Thursday, Oct. 7 and Friday, Oct. 8: 9 a.m. - 5 p.m. 
https://t.co/wRnrrbudwo"
"91","1083","Tuesday","125","Date","This week's #COVID19 vaccination &amp; testing hours for #WesternU students and employees:
Monday, Oct. 4: 9 a.m. - 8 p.m. 
Tuesday, Oct. 5: 9 a.m. - 5 p.m.
Wednesday, Oct. 6: 9 a.m. - 8 p.m. 
Thursday, Oct. 7 and Friday, Oct. 8: 9 a.m. - 5 p.m. 
https://t.co/wRnrrbudwo"
"92","1083","Wednesday","158","Date","This week's #COVID19 vaccination &amp; testing hours for #WesternU students and employees:
Monday, Oct. 4: 9 a.m. - 8 p.m. 
Tuesday, Oct. 5: 9 a.m. - 5 p.m.
Wednesday, Oct. 6: 9 a.m. - 8 p.m. 
Thursday, Oct. 7 and Friday, Oct. 8: 9 a.m. - 5 p.m. 
https://t.co/wRnrrbudwo"
"93","1083","Thursday","194","Date","This week's #COVID19 vaccination &amp; testing hours for #WesternU students and employees:
Monday, Oct. 4: 9 a.m. - 8 p.m. 
Tuesday, Oct. 5: 9 a.m. - 5 p.m.
Wednesday, Oct. 6: 9 a.m. - 8 p.m. 
Thursday, Oct. 7 and Friday, Oct. 8: 9 a.m. - 5 p.m. 
https://t.co/wRnrrbudwo"
"94","1083","Friday","215","Date","This week's #COVID19 vaccination &amp; testing hours for #WesternU students and employees:
Monday, Oct. 4: 9 a.m. - 8 p.m. 
Tuesday, Oct. 5: 9 a.m. - 5 p.m.
Wednesday, Oct. 6: 9 a.m. - 8 p.m. 
Thursday, Oct. 7 and Friday, Oct. 8: 9 a.m. - 5 p.m. 
https://t.co/wRnrrbudwo"
"95","1084","October 15","147","Date","RT @westernuNursing : As we reflect on the past 100 years of nursing at Western, we will be enclosing a time capsule in a wall of our building on October 15 at 12:00 PM. Register to join us virtually at https://t.co/mqFJNuqocd @WesternU @westernuFHS @westernuAlumni @westernuHistory @westernulibsARC https://t.co/YojOFsstNw"
"96","1084","12:00","161","Date","RT @westernuNursing : As we reflect on the past 100 years of nursing at Western, we will be enclosing a time capsule in a wall of our building on October 15 at 12:00 PM. Register to join us virtually at https://t.co/mqFJNuqocd @WesternU @westernuFHS @westernuAlumni @westernuHistory @westernulibsARC https://t.co/YojOFsstNw"
"97","1084","U @westernuFHS","236","Location","RT @westernuNursing : As we reflect on the past 100 years of nursing at Western, we will be enclosing a time capsule in a wall of our building on October 15 at 12:00 PM. Register to join us virtually at https://t.co/mqFJNuqocd @WesternU @westernuFHS @westernuAlumni @westernuHistory @westernulibsARC https://t.co/YojOFsstNw"
"98","1085","Music","21","Person","RT @westernuMusic : Music students, have you registered for the @WesternU Dream It entrepreneurship conference yet? Register by Monday to join three epic days (Oct 5-7, 12:30-1:30 daily) jam-packed with advice to help you turn your creative ambitions into a thriving venture. https://t.co/Tf826pGP0V https://t.co/HWiygNAwAV"
"99","1085","Monday","129","Date","RT @westernuMusic : Music students, have you registered for the @WesternU Dream It entrepreneurship conference yet? Register by Monday to join three epic days (Oct 5-7, 12:30-1:30 daily) jam-packed with advice to help you turn your creative ambitions into a thriving venture. https://t.co/Tf826pGP0V https://t.co/HWiygNAwAV"
"100","1085","Oct 5-7,","161","Date","RT @westernuMusic : Music students, have you registered for the @WesternU Dream It entrepreneurship conference yet? Register by Monday to join three epic days (Oct 5-7, 12:30-1:30 daily) jam-packed with advice to help you turn your creative ambitions into a thriving venture. https://t.co/Tf826pGP0V https://t.co/HWiygNAwAV"
"101","1085","://t.co/Tf826pGP0V","282","Date","RT @westernuMusic : Music students, have you registered for the @WesternU Dream It entrepreneurship conference yet? Register by Monday to join three epic days (Oct 5-7, 12:30-1:30 daily) jam-packed with advice to help you turn your creative ambitions into a thriving venture. https://t.co/Tf826pGP0V https://t.co/HWiygNAwAV"
"102","1086","TD Stadium","41","Organization","RT @SportsAtGazette : #NEW: @WesternU’s TD Stadium has been renamed Western Alumni Stadium after a recent donation from @westernuAlumni. 

More details to follow. https://t.co/tYQ0VS1JV3"
"103","1087","Alumni Association","120","Organization","RT @doublempeacock : Proud to be president-elect of @westernuAlumni &amp; thrilled about this tremendous gift from the Alumni Association to @WesternU #PurpleAndProud https://t.co/oQHhVlPwuY"
"104","109","Health Canada","80","Organization","@drjenirwin 2/ 98% of the Western community is fully vaccinated, as defined by Health Canada. As COVID-19 booster shots are not required to be considered fully vaccinated, proof of a third dose is not required. Therefore, we cannot speculate on the percentage who’ve received a booster shot."
