Post,message
52,#WesternU international law experts provide insights on whether a ruling from the @CIJ_ICJ in favour of #Ukraine can stop Russia's invasion. @westernuLaw https://t.co/46xBKvXVd7
53,"After consultation with the @MLHealthUnit and #WesternU workplace health and wellness physicians, it has been decided that Western’s masking mandate and vaccination policy will remain in effect until at least the end of this term. Read the full update:
https://t.co/faBuB9FyjZ"
54,RT @westernuEdu : Lockdowns and school closures have impacted children and youth during COVID-19. Education professor Claire Crooks will address these issues and post-pandemic well-being during the upcoming Let’s Talk About Education event in April. Read more: https://t.co/SqC1LozRYC #westernu https://t.co/7H0YqyezPL
55,"RT @westernuFM : Project milestone??The bright new Indigenous Learning Space (ILS) skylight has been lifted into place. When complete, ILS will be a place for all to gather, learn, and build relationships in the spirit of reconciliation, decolonization, and Indigenization. @westernu??by J. Jones https://t.co/9NUQdN2JZr"
56,"RT @Brains_CAN : Why do people experience brain fog, a symptom of long COVID? #WesternU neuroscientist, @Comadork explains. 

https://t.co/WZl9f6HXN9 via @nationalpost"
57,"Hear what #WesternU Philosophy prof @HenrySidgwick has to say in this episode of The New Reality.
@westernuArts @rotmanphilo https://t.co/UQfFiPWyPp"
58,"A new @ConversationCA piece by #WesternU Kinesiology prof @punchingprof examines why sports are intertwined with political events. ""The broader sporting landscape is...illustrating the politically charged nature of international sport in the 21st century.""
https://t.co/24WAV3Gnz6"
59,"RT @CityofLdnOnt : As we navigate the next part of our #COVID19 journey, let's continue to show each other #LdnKindness and patience. 
For more information on the changing #COVID19 regulations, visit: https://t.co/dYEZhmPqjU
@MLHealthUnit https://t.co/zxpkiRB0Cn"
60,"RT @NFFOntario : Introducing our next speaker for the Conference:

?? Olivia Ghosh-Swaby ??

Olivia is a 2021 Vanier Canada Graduate Scholar &amp; PhD student in Neuroscience @WesternU. She is an advocate for #EDI in #STEM and university athletics.

Register for FREE here: https://t.co/YvAB8xefnq https://t.co/w9GQXXDLz9"
61,"“The obvious best place to put solar energy is to integrate it directly into whatever you might be powering,” #WesternU professor Joshua Pearce tells NBC News in an article about implementing solar panels in the U.S. @westernuEng @iveybusiness 
 https://t.co/tJq1vxDLlQ"
62,Hey #WesternClassOf2022 – want to kick-start your career right here on campus? #WesternU is offering new staff positions that come with full-time hours and competitive salaries and  benefits. Roles begin June 2022 and continue until March 2024. Learn more and apply today!
63,RT @westernuReg : The FINAL schedule for April 2022 examinations is now posted. You can access your personal exam schedule at https://t.co/GIXIVVlYOp or the full schedule at https://t.co/k9H8GqTvZX #westernu https://t.co/jKnw6zHYjm
64,"Will you continue watching movies at home or will you go to a theatre post-pandemic? ""People are still watching a lot of entertainment... what has really shifted is the way we access that content."" says @westernuFIMS prof Selma Purac on @TheAgenda. https://t.co/GQkStSnpdF"
65,"Western’s Vaccination and Testing Centre is now conveniently located in the heart of campus. #GetBoosted while you walk through campus in Thames Hall, room 3189. 
#WesternU 
https://t.co/wRnrrbudwo"
66,"""To me, women’s equity means that I can stop processing so many professional interactions through a gender lens.""
— @scgQuasar, director, Institute of Earth and Space Exploration, and science advisor to the president of the @csa_asc
#WesternU #IWD2022"
67,"""Women’s equity means entering a meeting, seeing represented faces and then being asked for a response to an issue; making a response, and hearing a pause that suggests it was heard.""
— Terry McQuaid, director, wellness and well-being
#WesternU #IWD2022"
68,"In 1929, the #PersonsCase let women participate more fully in public and political life. Today, #WesternU grad @CarinaGabriele_ received a @GGCanada Award in Commemoration of the Persons Case for her contributions to advancing #GenderEquality. #IWD2022 https://t.co/0ScDinVFla"
69,"""Diversity in academia enriches the educational experience, encourages creative thinking, and promotes the full inclusion of excellence across the spectrum. University leaders must champion inclusivity.""
— @LesleySRigg, vice-president (research)
#WesternU #IWD2022"
70,"“If you’re hyper-focused on what you’re ‘supposed’ to do, you may miss out on the path that leads to what you’re actually meant to do.” - #WesternU alum Maria Thomas, #TrinidadandTobago #Rugby president.
@ttru_868 @RugbyAmericasN #purpleandproud #IWD2022 
https://t.co/vkPbqwfAr7"
71,"""Women’s equity work means actively working towards removing barriers to access and success for women and non-binary individuals.""
— @rachel_cabunoc, associate director, @westernuhousing
#WesternU #IWD2022"
72,"RT @SchulichMedDent : To address the gender imbalance in teaching and leadership positions in medicine, Dr. Tina Mele is collaborating on research initiatives to define clear strategies for equitable sponsorship, participation and access to career advancement opportunities.

#IWD2022"
73,"""Women’s equity for me means equal recognition for equal work, and having our work valued and not taken for granted. It is of benefit to the entire society to have women participate fully.""
— Jayshri Sabarinathan, professor at @westernueng
#WesternU #IWD2022"
74,"For International Women's Day, #WesternU women leaders reflect on what women's equity means to them and to their work. @womensday #BreakTheBias #IWD2022 https://t.co/Yfq2EOV3xz"
75,"RT @westernuSE : Celebrate #IWD22 with talks by elder Myrna Kicknosway and @WesternU Artist in Residence Kelly Greene as part of ""Breaking the Bias at Western: Celebrating Indigenous Women &amp; Culture""

Both talks are open to students, staff, and faculty. Learn more: https://t.co/FV9ivFX9K9. https://t.co/iYQpexxv0y"
76,"#InternationalWomensDay is a day of unity. Today and every day, we celebrate the outstanding achievements of women worldwide while actively working to #BreakTheBias. From challenge comes change. Let's come together for our #WesternU community and beyond. #IWD2022 https://t.co/q6ZkzYQBKK"
77,"RT @filmlondonon : A new program @WesternU aims to broaden students' awareness of creativity as an essential job skill for the 21st century.@filmlondonon is one of the program's community partners, providing internships, placements, job leads &amp; opportunities in #ldnont. ?? https://t.co/OuEZf1lkFT"
78,"RT @westernuSE : Check out our line-up of speakers for ReShape Week! We've got talks from Jungle Flower, Samantha Bitty, Farrah Khan, and Karly Church. 

Each talk will take place over Zoom and focus on GBSV education and prevention. 

To learn more &amp; register, visit https://t.co/B3bRJH6do8! https://t.co/WXXrmQqP71"
79,"RT @westernulibs : One day you'll look back on this time and think, ""Gee, I miss wearing a mask."" Okay, no you wont. ?? But you might regret taking it off and making people ask you to put it on.

Pick up masks at any of our 5? libraries with your #WesternU ONECard. 

Be kind. Mask up. ?????? https://t.co/LLMxyraU5k"
80,"RT @westernuAlumni : Our first selection for the new Alumni Book Club is Long Bright River by @LizMooreBooks! 

Read the book at your own pace, join in the private forum moderated by PBC Guru, and connect with more than 500 #WesternU grads who have already registered."
81,"Reminder #WesternU: vaccination services are unavailable today as the centre is moving to Thames Hall, room 3178. Vaccine services will resume tomorrow in the heart of campus.

Today’s the last day for rapid testing at the Graphic Services Building. https://t.co/wRnrrbudwo"
82,"Starting March 8, you can #GetBoosted on your way to class! The Vaccination and Testing Centre at #WesternU will move from the Graphic Services Building to Thames Hall, room 3178. 

Vaccine services will be unavailable March 7 to facilitate the move.
https://t.co/wRnrrbudwo"
83,"Ontario tornado models still use 1970s assumptions, leaving homes unprepared. @westernuEng student Niall Bannigan's research goal is to develop better modelling for improved protection against tornados.

Inspiring Minds showcases graduate research from #WesternU. @VPRWesternU"
84,"Congratulations to @TesherMusic! 

We can't wait for @TheJUNOAwards, hosted by fellow #WesternU grad @SimuLiu. https://t.co/DyNtpjj2hP"
85,"RT @westernuIntl : In collaboration with #WesternU's Ukrainian Students' Association, we will be collecting donated items to provide to the London Ukrainian Centre to support relief efforts for those living in Ukraine. Find information: https://t.co/J6gVNEScWH. @WesternUSC @westernsogs @westernuSE https://t.co/zE47xLBZzy"
86,"RT @iveyleadership : In short order, Zelenskyy has revealed that character-infused leadership does not serve to provoke but invoke. 
#leadership #chractermatters @iveybusiness @WesternU @kymilani 
https://t.co/wSe5ramifu"
87,"#WesternU student and @canadalifeco intern Oleksii Kocheriev longs for peace in #Ukraine, feeling pride for his country and family in the midst of war. @westernuScience https://t.co/zjfvIw0Qvs"
88,"RT @westernulibs : Hey #WesternU, what's your ideal library experience? We need your input to shape our priorities for the next 4 years. ?? 

Take our survey by March 16 and you could win a $500 gift card to Best Buy, a grocery store gift card, or a Starbucks gift card ????
https://t.co/pRMYxrxAQj https://t.co/JXxcXvBNjj"
89,"RT @westernuEng : Progress toward a sustainable future requires inclusive clean technology.

That’s what #WesternU alumna Heather Campbell strives toward as Executive Director, Clean Technology with @ABInnovates 

https://t.co/p9rsp0z4B4 https://t.co/4hU8i6Q3Ha"
90,'Never say can't': #WesternU student and internationally ranked para athlete Madison Wilson-Walker is the 2022 recipient of the @JeffreyKReed Courage Award. @WesternMustangs @Madiewx2 @KingsAtWestern https://t.co/kAFyM2du5D
91,"RT @LondonEDC : Join @LondonEDC,@OCInnovation,@FanshaweCollege @BresciaUC @WesternU, and a panel of experts to explore the ideas and technologies that contribute to food system sustainability. 
Join the #Building #Sustainable #Food Systems #Symposium on March 22, 9 am. 
???https://t.co/6OVFB6aYXl"
92,RT @RickEzekiel : Happy #WesternDay to my alma mater and all you #Mustangs out there! This place will always feel like a wonderful home to me. Forever #purpleandproud. https://t.co/V3vGpVF5t4
93,Congratulations! ???? We’re #PurpleAndProud of you! https://t.co/p5xcNZIPro
94,"RT @patsearle : 11 years ago, @erika_cas and I were #WesternU O-Week leaders, student council presidents, and big fans of Rick McGhie. Today, we’re reconnecting to celebrate #WesternDay, chat about her winning @survivorcbs, and listening to Rick perform some of his greatest hits! #purpleandproud https://t.co/CzTLGhC0F8"
95,RT @ChojaJulie : Staff @EagleHeightsPS are #purpleandproud on Western Day!?? https://t.co/87nutBIlB1
96,RT @VPRWesternU : #Purpleandproud to celebrate #WesternDay with #WesternU Research Staff! https://t.co/BkETCbYBF7
97,"RT @channydang : From O-Week to my time at @WesternUSC, some of my fondest memories are at @WesternU.

#PurpleAndProud today for #WesternDay ??

Here’s a photo of the Science Soph team during training for O-Week 2016! https://t.co/57HSOQiXsb"
98,"RT @westernuFIMS : This year’s Western Day celebration features FIMS grad Erika Casupanan… 
You might know her as the first Canadian to win TV’s Survivor ??????

Hear from @erika_cas on how she outwitted, outplayed &amp; outlasted on @survivorcbs - 7pm TONIGHT on Zoom!
https://t.co/RcSzEKbmkF @WesternU"
99,"RT @couchman : Celebrating Western Day! #purpleandproud @WesternU MEd'15, EdD'18 https://t.co/synLEhITbr"
100,"If you're on campus, celebrate Western Day with a free food item from trucks outside Weldon beginning at noon and a free purple donut from eateries around campus! 
(as supplies last) 

Thanks @westernuAlumni and @westernufood! 
#WesternU https://t.co/bN0CsPb8yx"
101,"RT @westernulibs : Can-can you believe it's been 144 years? Let's celebrate, #WesternU ?????? 

From the bottom of our purple hearts, Happy Western Day ????
#purpleandproud. https://t.co/Qv6eaiDqfA"
102,RT @canadiancal30 : On #WesternDay - have to show some love to the current #VanierCup champions. @WesternMustangs @WesternU @westernuFB #PurpleAndProud @VanierCup https://t.co/KhHzjNJaNX
103,"RT @eyeonthefly : Today is Western Day, a celebration of all things #purpleandproud.

The Western community is full of people working on improving this institution, including taking better care of the land the campus is built on. These ?? moments from this past year make me proud to be at Western. https://t.co/OJJruUIlvN"
104,RT @theworldbeckons : Someone’s ready for #WesternU Day. #PurpleandProud https://t.co/nOJyrU6Evv https://t.co/AKvcXwFGPm
105,"Today is Western Day, a celebration of all things #purpleandproud! 

?? Wear purple proudly today, wherever you are. 
?? Attend our virtual event with Survivor winner @erika_cas and Rick McGhie.  

Check out all the activities here:
https://t.co/yVI4nCWjIs"
106,"Moderate physical activity can prevent severe outcomes for people who contract #COVID19, according to a new international study involving #WesternU researchers. @SchulichMedDent @WitsUniversity https://t.co/yUApHiYkrS"
107,"So how is that sustainable, techno-utopian future looking, 50 years after visionary architect Buckminster Fuller's visit to #LdnOnt? A new @MuseumLondon exhibition curated by #WesternU's @kirsty_robertso and @sarah_ek_smith shows us. @westernuVisArts https://t.co/OR5VhreqXZ https://t.co/YcBy7ZfKON"
108,"RT @OntUniv : We are deeply troubled &amp; saddened by the hostile invasion taking place in Ukraine &amp; its tragic impact on the Ukrainian people. On behalf of COU, we stand in unwavering support with all who are impacted by this needless suffering.

Read our full message: https://t.co/qF8LQmRtSf"
109,"@drjenirwin 2/ 98% of the Western community is fully vaccinated, as defined by Health Canada. As COVID-19 booster shots are not required to be considered fully vaccinated, proof of a third dose is not required. Therefore, we cannot speculate on the percentage who’ve received a booster shot."
110,"@drjenirwin 1/We continue to encourage everyone to #GetBoosted through social media and direct contact with the more than 6,000 first-year students who returned to campus on Monday. We are also one of the few universities that continues to operate an on-campus vaccination and testing centre."
111,RT @booksatwesternu : ? LIMITED-TIME OFFER: SAVE 18.78% STORE-WIDE. ??Get ready to feel the Western Day spirit tomorrow! Treat yourself to a new piece of #purpleandproud merch with our special sale from March 2–3 in celebration of @WesternU founding in 1878. Shop now: https://t.co/bLAYPsYuTb https://t.co/Pv8PobtKT5
112,"#WesternU joins the world in responding with shock and outrage at the aggression and unprovoked violence in Ukraine, at the hands of Putin’s government. 

We stand in solidarity with the people of Ukraine against this war and all unjust and unprovoked acts of war."
113,"@EthanSTONWX Out of consideration for our Ukrainian community members, the siren test scheduled for today has been canceled."
114,"RT @WordsLDN : Join us for a conversation with Angela Sterritt @sterritt_angela, an award-winning journalist &amp; artist from the Gitanmaax band of the Gitxsan nation.

Hosted by @WesternU Alice Munro Chair Ivan Coyote, the Active Voice performance series is free to all.
https://t.co/dGVXb3KHdM https://t.co/lGEZVl4qgq"
115,"SIREN TEST: As a reminder, the #WesternU Weather Siren will sound at noon today. This is only a test. #ldnont

For more information about the Weather Siren: 
https://t.co/y3qmemN2to"
116,#WesternU experts weigh in on how Russia's unprovoked attack on #Ukraine could hit close to home as economic sanctions and trade disruptions take effect. @iveybusiness @westernuSocSci https://t.co/vIPqTKonfs
117,"RT @booksatwesternu : STORE WIDE SALE COMING SOON ?To celebrate @westernuniversity being founded in 1878,  enjoy 18.78% OFF the entire store from March 2-3! Browse our current selection now and add to your wish list before the Western Day sale begins: https://t.co/VcyCCZNuag #westernu https://t.co/dfIsIpcehv"
118,"""[Putin] has violated international law at a junction in the history of us trying to combat climate change and #COVID19."" @westernuPoliSci prof @ErikaVGSimpson answers questions about the #UkraineInvasion in the @nationalpost https://t.co/ibMiHBAszk"
119,"SIREN TEST: Tomorrow the #WesternU Weather Siren will sound at noon. This is only a test. #ldnont 

For more information about the Weather Siren: 
https://t.co/y3qmemN2to"
120,"RT @ontariogenomics : (1/2) ??Happy to announce not one, but THREE recipients of @OntarioGenomics-@CANSSIOntario Postdoctoral Fellowship in #Genome #DataScience:
- Roux-Cil Ferreira @WesternU
- Daniella Lato @SickkidsNews
- Nicholas Waglechner @SinaiHealth

Congratulations??https://t.co/xUzbgB0P9m https://t.co/H8PHK7Ycdk"
121,"Inspired by #WesternU prof @drjenirwin's #kindness research, @westernuFHS  student Catherine Qi co-founded Beyond the Wards to recognize essential workers, the often unsung heroes of the #COVID19 pandemic. #ldnont https://t.co/ntsiby9Ikx"
122,"RT @westernuAlumni : It couldn’t be Western Day without a performance from Rick! ??  
Get your viewing parties ready and enjoy classic #WesternU songs from the comfort of your home on March 3. #purpleandproud 
https://t.co/tKSMiKDCFh"
123,RT @westernuFM : Parking Advisory: Regular parking fees for permit holders and all visitors to campus resume March 1. Our operation is cashless and daily parking can be paid using credit card. Visit the @WesternU Parking &amp; Visitor Services website for more information: https://t.co/R3UnxgpXfl https://t.co/xYXNjD6YhH
124,"As Russia wages war on #Ukraine, #WesternU student Sasha Moskalenko worries for his family and friends back home in #Kyiv. @KingsAtWestern #LdnOnt #UkraineInvasion https://t.co/2tVa52c2a8"
125,"#WesternU students and employees – don’t forget to complete the daily COVID-19 self-assessment prior to going to campus each day. We are experiencing technical difficulties with the email reminder but completion of the self-assessment is still required.
https://t.co/8Ut5D7twj4"
126,"RT @westernuMusic : Effective March 1, music performances re-open to the public, with mandatory mask and vaccination policies in place. Visit website for schedule of 100+ events and detailed audience info. Welcome back @WesternU,  #LdnOnt, and all our family and friends! https://t.co/n6BJl33xna https://t.co/qkY7NLuY5t"
127,"""Every single one of those stories is a piece of the human experience."" After 16 wonderful years, #WesternU grad @caroloffcbc is giving her final @cbcasithappens broadcast tonight. THANK YOU Carol, we are forever #purpleandproud.?? https://t.co/OCx9JQmvsr"
128,"As of March 1, #COVID19 policies are changing at #WesternU. Western’s vaccination policy and mandatory masking remains in place.

Read more about the upcoming changes here. 
https://t.co/gMBcgvMUnO"
129,"RT @westernuLaw : Join us for ""The War in #Ukraine: A Discussion"" on March 1 at 12:30 p.m., as experts from our International Law Research Group and @WesternU's @tjcentre share their thoughts and answer your questions about this violation of #internationallaw and order: https://t.co/hGxZwSFuUl https://t.co/uwK7owrCjn"
130,"#WesternU is at the forefront of a movement to offer #microcredentials: short-course nuggets that provide learners with enhanced professional skills, including three new #microcertificates in healthy aging, pedorthics and food biotech. #ldnont  @westernuCS https://t.co/LASZstFsyW"
131,"#WesternU students, staff, faculty and retirees raise $617,110 for @unitedwayemca #LocalLove #ldnont https://t.co/snT8Q2pwIf"
132,"#WesternU Vaccine Clinic Hours: 

February 28 - March 4: 
9:00 a.m. to 4:00 p.m. 

Walk-ins accepted pending available vaccine supply. 

https://t.co/wRnrrbudwo"
